pose	RMSD	PDB	cosine_similarity	euclidean	half_square_euclidean	manhattan	soergel	square_euclidean	tanimoto	tversky
native	0.0	3E5E	1.0	0.01	0.0001	0.0001	0.0001	0.0001	1.0	1.0
1	6.7	3E5E	0.7746	2.4495	3.0	6.0	0.4	6.0	0.6	1.0
2	5.8	3E5E	0.4216	3.3166	5.5	11.0	0.7333	11.0	0.2667	0.4444
3	9.6	3E5E	0.504	2.8284	4.0	8.0	0.6667	8.0	0.3333	0.4444
4	9.4	3E5E	0.378	3.1623	5.0	10.0	0.7692	10.0	0.2308	0.3333
5	8.0	3E5E	0.527	3.0	4.5	9.0	0.6429	9.0	0.3571	0.5556
6	8.4	3E5E	0.4714	3.0	4.5	9.0	0.6923	9.0	0.3077	0.4444
7	8.6	3E5E	0.603	2.8284	4.0	8.0	0.5714	8.0	0.4286	0.6667
8	8.6	3E5E	0.5547	3.1623	5.0	10.0	0.625	10.0	0.375	0.6667
9	5.7	3E5E	0.5556	2.8284	4.0	8.0	0.6154	8.0	0.3846	0.5556
10	1.9	3E5E	0.8321	2.0	2.0	4.0	0.3077	4.0	0.6923	1.0
11	9.4	3E5E	0.402	3.4641	6.0	12.0	0.75	12.0	0.25	0.4444
12	1.4	3E5E	0.8321	2.0	2.0	4.0	0.3077	4.0	0.6923	1.0
13	9.7	3E5E	0.5893	2.6458	3.5	7.0	0.5833	7.0	0.4167	0.5556
14	1.4	3E5E	0.866	1.7321	1.5	3.0	0.25	3.0	0.75	1.0
15	5.1	3E5E	0.5774	3.0	4.5	9.0	0.6	9.0	0.4	0.6667
16	6.5	3E5E	0.7396	2.4495	3.0	6.0	0.4286	6.0	0.5714	0.8889
17	9.6	3E5E	0.6667	3.0	4.5	9.0	0.5294	9.0	0.4706	0.8889
18	6.1	3E5E	0.7698	2.2361	2.5	5.0	0.3846	5.0	0.6154	0.8889
19	1.6	3E5E	0.8321	2.0	2.0	4.0	0.3077	4.0	0.6923	1.0
20	7.4	3E5E	0.3698	3.7417	7.0	14.0	0.7778	14.0	0.2222	0.4444
21	6.7	3E5E	0.75	2.6458	3.5	7.0	0.4375	7.0	0.5625	1.0
22	2.0	3E5E	0.8321	2.0	2.0	4.0	0.3077	4.0	0.6923	1.0
23	5.5	3E5E	0.5893	2.6458	3.5	7.0	0.5833	7.0	0.4167	0.5556
24	5.1	3E5E	0.4444	3.1623	5.0	10.0	0.7143	10.0	0.2857	0.4444
25	9.6	3E5E	0.7379	2.2361	2.5	5.0	0.4167	5.0	0.5833	0.7778
