"smiles","pdb","Cluster"
"[NH3+][C@H](C=O)CCCNC(=[NH2+])N","1AJU","aminoacids"
"[NH3+][C@H](C=O)CCCNC(=[NH2+])N","1AKX","aminoacids"
"P(=O)([O-])([O-])OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2NC=N[C@@H](c2nc1)N","1AM0","other"
"[NH3+][C@H](C(=O)[O-])CCCNC(=[NH2+])N","1ARJ","aminoacids"
"C1[C@@H]([NH3+])[C@@H]([C@H]([C@H](O[C@H]2O[C@@H](CC[C@H]2[NH3+])C[NH3+])[C@H]1[NH3+])O)O[C@@H]1[C@H](O)[C@H]([C@](CO1)(O)C)[NH2+]C","1BYJ","aminosugars"
"Cn1c(=O)n(C)c2c(c1=O)nc[nH]2","1EHT","other"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@@H](O)[C@H](O)[C@@H](O2)C[NH3+])[NH3+])O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)C[NH3+]","1EI2","aminosugars"
"[P@](=O)(O[C@H]1[C@H]([C@@H](N2CNc3cc(C)c(C)cc23)O[C@@H]1CO)O)(O[C@@H](CNC(=O)CC[C@]1(/C/2=C(/[C@H]3[C@H](C([C@H](/C=C\4/[C@H]([C@]([C@H](/C(=C\5/[C@H]([C@]([C@@]([C@@H]([C@@H]1CC(=O)N)N2)(C)[NH2+]5)(C)CC(=O)N)CCC(=O)N)/C)[NH2+]4)(C)CC(=O)N)CCC(=O)N)[NH2+]3)(C)C)CCC(=O)N)\C)C)C)[O-]","1ET4","other"
"[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]","1EVV","aliphatic amines"
"c1(N(C)C)cc2O[C@H]3C=C([NH+](C)C)C=CC3=C(c2cc1)c1ccccc1","1F1T","other"
"N1C(=O)N[C@@H]2[C@@H](SC[C@H]12)CCCCC(=O)[O-]","1F27","other"
"P(=O)([O-])([O-])OC[C@H](O)[C@H](O)[C@H](O)CN1c2c(N[C@@H]3C(=O)NC(=O)N=C13)cc(C)c(C)c2","1FMN","other"
"[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]","1FUF","aliphatic amines"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1FYP","aminosugars"
"CC(C)(O)C[C@@H](O)C","1G4Q","alcohols"
"C1(=O)[C@@]2(O)[C@@H]([C@@H]3C(=O)c4c(cccc4[C@@](O)([C@H]3C[C@H]2[C@@H](C(=O)[C-]1C(=O)N)[NH+](C)C)C)O)O","1HNW","other"
"[C@@H]1([C@@H](C[C@@H]([C@H]([C@@H]1O[C@H]1[C@H]2[C@H]([C@H]([C@H](O1)CO)O)O[C@]1([C@@H]([C@@H]([C@H]([C@@H](O1)[C@H](CO)[NH3+])O)O)O)O2)O)[NH2+]C)[NH3+])O","1HNZ","aminosugars"
"C1(=O)[C@@]2(O)[C@H]([C@@H]3C(=O)c4c(cccc4[C@@](O)([C@H]3C[C@H]2[C@@H](C(=O)[C-]1C(=O)N)[NH+](C)C)C)O)O","1I97","other"
"[C@H]1(O[C@H]2[C@@H](C[C@H]([NH3+])[C@H]([C@@H]2O[C@H]2[C@@H](O)[C@@H]([C@H](O2)CO)O[C@H]2[C@H]([C@H](O)[C@H](O)[C@@H](O2)C[NH3+])[NH3+])O)[NH3+])[C@H]([NH3+])[C@H](O)[C@H](O)[C@H](O1)C[NH3+]","1I9V","aminosugars"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1IBL","aminosugars"
"C1(=O)[C@@H]([C@@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@@H]([C@H]([C@@](C[C@H](C(=O)[C@@H]([C@H]([C@@]([C@H](O1)CC)(O)C)O)C)C)(OC)C)O[C@@H]1O[C@@H](C[C@H]([NH+](C)C)[C@H]1O)C)C)C","1J5A","aminosugars"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1J7T","aminosugars"
"N[C@H]1[C@@H]([NH3+])[C@@H]1C[NH2+]CCCC[NH2+]CCC1NN1","1J8G","aliphatic amines"
"Cl[C@H]([C@@H](NC(=O)[C@H]1[N@@H+](C[C@@H](C1)CCC)C)[C@@H]1[C@@H]([C@@H]([C@@H](O)[C@@H](SC)O1)O)O)C","1JZX","other"
"C1(=O)[C@@H]([C@@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@@H]([C@H]([C@@](C[C@H](C(=O)[C@@H]([C@H]([C@@]([C@H](O1)CC)(O)C)O)C)C)(O)C)O[C@@H]1O[C@@H](C[C@H]([NH+](C)C)[C@H]1O)C)C)C","1JZY","aminosugars"
"C1(=O)[C@@H]([C@@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@@H]([C@H]([C@@](C[C@H](/C(=N\OCOCCOC)/[C@@H]([C@@H](O)[C@](O)([C@H](O1)CC)C)C)C)(O)C)O[C@@H]1O[C@@H](C[C@H]([NH+](C)C)[C@H]1O)C)C)C","1JZZ","other"
"ClC(Cl)C(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1","1K01","other"
"c1c(OC)ccc(c1)C[C@H]1[NH2+]C[C@@H]([C@H]1OC(=O)C)O","1K73","other"
"C(=O)([C@H]1O[C@H](C=C[C@@H]1NC(=O)C[C@@H]([NH3+])CCN(C)C(=[NH2+])N)n1c(=O)nc(N)cc1)[O-]","1KC8","other"
"[NH3+][C@H](C(=O)[O-])CCCNC(=[NH2+])N","1KOC","aminoacids"
"C(=O)([C@@H]([NH3+])CCCNC(=O)N)[O-]","1KOD","aminoacids"
"C(=O)(CCCCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)N[C@H](C(=O)N[C@H](C(=O)NCCO)Cc1ccc(cc1)OC)Cc1ccccc1","1KQS","other"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H]([NH3+])[C@H](O)[C@H](O2)CO)[NH3+])[C@H]([NH3+])C[C@H](O)[C@H](O1)C[NH3+]","1LC4","aminosugars"
"C(CC[NH+](C)C)N1c2cc(C(=O)C)ccc2Sc2ccccc12","1LVJ","other"
"c1(=O)[nH]c(=O)[nH]c(c1/C=C/C(=O)N[C@@H](CO)C[S@@](=O)CSC)C","1M90","other"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H]([NH2+]C)[C@@](O)(CO2)C)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","1MWL","aminosugars"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1N32","aminosugars"
"[C@@H]1(O[C@@H]2[C@H](C[C@@H]([NH3+])[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)O)[NH3+])[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1N33","aminosugars"
"[C@H]12CCCN1C(=O)c1nc(oc1)CC(=O)C[C@H](O)/C=C(\C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC2=O","1N8R","other"
"[NH3+][C@H](C(=O)[O-])CCCNC(=[NH2+])N","1NBK","aminoacids"
"O1[C@H]([C@H](O)[C@H](O[C@@H]2[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O2)C[NH3+])[C@H]1CO)O[C@H]1[C@@H]([C@H](C[C@@H]([NH3+])[C@@H]1O)[NH3+])O[C@@H]1[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)C[NH3+]","1NEM","aminosugars"
"c1(=O)[nH]c(=O)[nH]c(c1CCC(=O)N[C@H](CO)CSCSC)C","1NJM","other"
"c1(=O)[nH]c(=O)[nH]c(c1CCC(=O)N[C@H](CO)CSCSC)C","1NJN","other"
"C(=[NH2+])(N[C@@H]1[C@@H](O)[C@H](NC(=[NH2+])N)[C@@H](O[C@H]2[C@H](O[C@H]3[C@@H]([NH2+]C)[C@H](O)[C@@H](O)[C@@H](O3)CO)[C@](C=O)(O)[C@H](C)O2)[C@H](O)[C@H]1O)N","1NTA","aminosugars"
"C(=[NH2+])(N[C@@H]1[C@@H](O)[C@H](NC(=[NH2+])N)[C@@H](O[C@H]2[C@H](O[C@H]3[C@@H]([NH2+]C)[C@H](O)[C@@H](O)[C@@H](O3)CO)[C@](CO)(O)[C@H](C)O2)[C@H](O)[C@H]1O)N","1NTB","aminosugars"
"C1(=O)[C@@H]([C@@H](O[C@H]2C[C@@](OC)([C@@H](O)[C@@H](O2)C)C)[C@@H]([C@@H](O[C@H]2[C@H](O)[C@@H]([NH+](C)C)C[C@H](O2)C)[C@](O)(C[C@H](C[N@H+]([C@@H]([C@@H](O)[C@](O)([C@H](O1)CC)C)C)C)C)C)C)C","1NWY","aminosugars"
"Cn1c(=O)n(C)c2c(c1=O)nc[nH]2","1O15","other"
"[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](NC(=O)[C@H](O)CC[NH3+])C[C@@H]2[NH3+])OCC[NH2+]CCCC[NH3+])O)[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)C[NH3+]","1O9M","aminosugars"
"C[C@]12[C@H](N(C(=O)O2)CCCCn2cc(nc2)c2cccnc2)[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@@H]([C@H](C(=O)[C@@H](C(=O)O[C@@H]1CC)C)C)O[C@H]1[C@H](O)[C@@H]([NH+](C)C)C[C@H](O1)C","1P9X","other"
"[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H]([NH3+])C[C@@H]2[NH3+])O)O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O3)C[NH3+])[C@H](O2)CO)[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O1)CO","1PBR","aminosugars"
"[NH3+][C@H](C(=O)N[C@@H]1[C@@H](CO[P@@](=O)([O-])O[C@@H]2[C@@H](CO[P@](=O)(O[C@@H]3[C@@H](COP(=O)([O-])[O-])O[C@H]([C@@H]3O)n3c(=O)nc(N)cc3)[O-])O[C@H]([C@@H]2O)n2c(=O)nc(N)cc2)O[C@H]([C@@H]1O)n1c2ncnc(c2nc1)N(C)C)Cc1ccc(cc1)OC","1Q81","other"
"C(c1ccccc1)(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1","1Q8N","other"
"C(O)[C@H]1O[C@H]([C@@H]([C@@H]1O[C@@H]1[C@H]([NH3+])[C@@H](O)[C@H](O)[C@@H](O1)C[NH3+])O)O[C@H]1[C@H](O[C@@H]2[C@H]([NH3+])[C@@H](O)[C@H](O)[C@H](O2)C[NH3+])[C@H](C[C@@H]([NH3+])[C@@H]1O)[NH3+]","1QD3","aminosugars"
"P(=O)([O-])([O-])OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2NC=N[C@@H](c2nc1)N","1RAW","other"
"[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]","1TN2","aliphatic amines"
"[C@H]1([C@H](O)[C@@H]([NH3+])[C@H](O)[C@H](O1)CO)O[C@H]1[C@H]([NH3+])C[C@H]([NH3+])[C@@H](O[C@@H]2[C@H]([NH3+])C[C@H](O)[C@H](O2)C[NH3+])[C@@H]1O","1TOB","aminosugars"
"[NH3+]CCCOc1c(C[NH2+]CCN2CC[NH2+]CC2)cc(cc1)c1cc2cc[nH]c2cc1","1UTS","other"
"C([NH2+]CCCCNC(=[NH2+])N)c1c(OCCNC(=[NH2+])N)ccc(OC)c1","1UUD","other"
"C(N1CCN(CC1)C(=[NH2+])N)c1c(OCCC[NH3+])ccc(OC)c1","1UUI","other"
"C(O)[C@H]1O[C@H]([C@@H]([C@@H]1O[P@@](=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O[P@@](=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(=O)[C@@H](NC(=O)CCCCCNC(=O)CC)Cc1ccccc1)O)n1c2ncnc(c2nc1)N)[O-])O)n1c(=O)nc(N)cc1)[O-])O)n1c(=O)nc(N)cc1","1VQ6","other"
"P(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O[P@@](=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1NC(=O)[C@@H](N)Cc1ccc(cc1)OC)O)n1c2ncnc(c2nc1)N(C)C)[O-])O)n1c(=O)nc(N)cc1)([O-])[O-]","1VQM","other"
"C(O)[C@H]1O[C@H]([C@@H]([C@@H]1O[P@@](=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O[P@](=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1NC(=O)[C@@H](O)Cc1ccccc1)O)n1c2ncnc(c2nc1)N(C)C)[O-])O)n1c(=O)nc(N)cc1)[O-])O)n1c(=O)nc(N)cc1","1VQN","other"
