POSE	RMSD_NOFIT	Ligand_name	cosine_similarity(RNA+ions+water)	euclidean(RNA+ions+water)	half_square_euclidean(RNA+ions+water)	manhattan(RNA+ions+water)	soergel(RNA+ions+water)	square_euclidean(RNA+ions+water)	tanimoto(RNA+ions+water)	tversky(RNA+ions+water)
1	0.00	23_solution_0^1	1.0	0.01	0.0001	0.0001	0.0001	0.0001	1.0	1.0
2	21.41	HZD^1	0.0001	5.9161	17.5	35.0	1.0	35.0	0.0001	0.0001
3	16.82	HZD^2	0.1252	5.2915	14.0	28.0	0.9333	28.0	0.0667	0.1176
4	18.65	HZD^3	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
5	12.96	HZD^4	0.4042	4.0	8.0	16.0	0.7619	16.0	0.2381	0.2941
6	23.68	HZD^5	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
7	24.44	HZD^6	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
8	20.90	HZD^7	0.0001	5.0	12.5	25.0	1.0	25.0	0.0001	0.0001
9	20.57	HZD^8	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
10	26.33	HZD^9	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
11	21.08	HZD^10	0.0001	5.0	12.5	25.0	1.0	25.0	0.0001	0.0001
12	24.30	HZD^11	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
13	22.58	HZD^12	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
14	22.01	HZD^13	0.0001	5.0	12.5	25.0	1.0	25.0	0.0001	0.0001
15	23.87	HZD^14	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
16	26.01	HZD^15	0.0626	5.4772	15.0	30.0	0.9677	30.0	0.0323	0.0588
17	23.60	HZD^16	0.0001	4.7958	11.5	23.0	1.0	23.0	0.0001	0.0001
18	16.41	HZD^17	0.1252	5.2915	14.0	28.0	0.9333	28.0	0.0667	0.1176
19	14.64	HZD^18	0.1617	4.6904	11.0	22.0	0.9167	22.0	0.0833	0.1176
20	23.52	HZD^19	0.0001	4.899	12.0	24.0	1.0	24.0	0.0001	0.0001
21	22.23	HZD^20	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
22	20.15	HZD^21	0.0731	5.099	13.0	26.0	0.963	26.0	0.037	0.0588
23	10.96	HZD^22	0.5636	3.7417	7.0	14.0	0.6087	14.0	0.3913	0.5294
24	22.73	HZD^23	0.0626	5.4772	15.0	30.0	0.9677	30.0	0.0323	0.0588
25	13.50	HZD^24	0.1345	5.099	13.0	26.0	0.9286	26.0	0.0714	0.1176
26	23.28	HZD^25	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
27	16.02	HZD^26	0.0857	4.7958	11.5	23.0	0.9583	23.0	0.0417	0.0588
28	12.98	HZD^27	0.6471	3.4641	6.0	12.0	0.5217	12.0	0.4783	0.6471
29	23.64	HZD^28	0.0001	4.7958	11.5	23.0	1.0	23.0	0.0001	0.0001
30	22.61	HZD^29	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
31	20.76	HZD^30	0.0001	5.6569	16.0	32.0	1.0	32.0	0.0001	0.0001
32	21.71	HZD^31	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
33	19.04	HZD^32	0.4042	4.0	8.0	16.0	0.7619	16.0	0.2381	0.2941
34	19.69	HZD^33	0.1463	4.899	12.0	24.0	0.9231	24.0	0.0769	0.1176
35	13.65	HZD^34	0.3656	4.2426	9.0	18.0	0.7826	18.0	0.2174	0.2941
36	20.74	HZD^35	0.0001	5.6569	16.0	32.0	1.0	32.0	0.0001	0.0001
37	22.77	HZD^36	0.0648	5.3852	14.5	29.0	0.9667	29.0	0.0333	0.0588
38	15.29	HZD^37	0.5186	3.873	7.5	15.0	0.6522	15.0	0.3478	0.4706
39	13.42	HZD^38	0.3656	4.2426	9.0	18.0	0.7826	18.0	0.2174	0.2941
40	22.44	HZD^39	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
41	22.37	HZD^40	0.14	5.0	12.5	25.0	0.9259	25.0	0.0741	0.1176
42	22.29	HZD^41	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
43	19.98	HZD^42	0.0673	5.2915	14.0	28.0	0.9655	28.0	0.0345	0.0588
44	23.13	HZD^43	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
45	22.51	HZD^44	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
46	23.64	HZD^45	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
47	18.80	HZD^46	0.0001	4.899	12.0	24.0	1.0	24.0	0.0001	0.0001
48	22.17	HZD^47	0.2018	4.899	12.0	24.0	0.8889	24.0	0.1111	0.1765
49	21.72	HZD^48	0.099	4.5826	10.5	21.0	0.9545	21.0	0.0455	0.0588
50	25.25	HZD^49	0.0001	4.7958	11.5	23.0	1.0	23.0	0.0001	0.0001
51	23.74	HZD^50	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
52	21.49	HZD^51	0.0731	5.099	13.0	26.0	0.963	26.0	0.037	0.0588
53	21.27	HZD^52	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
54	24.01	HZD^53	0.0731	5.099	13.0	26.0	0.963	26.0	0.037	0.0588
55	22.54	HZD^54	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
56	22.21	HZD^55	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
