POSE	RMSD Ligand	Ligand_name	Cosine similarity	Euclidean	Half square euclidean	Manhattan	Soergel	Square euclidean	Tanimoto	Tversky
1	0	23_solution_0^1	1	0.01	0.0001	0.0001	0.0001	0.0001	1	1
2	25.06	HZD^1	0.0001	5.099	13	26	1	26	0.0001	0.0001
3	21.33	HZD^2	0.0001	5.4772	15	30	1	30	0.0001	0.0001
4	23.72	HZD^3	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
5	24.82	HZD^4	0.0001	4.899	12	24	1	24	0.0001	0.0001
6	22.01	HZD^5	0.0001	5.2915	14	28	1	28	0.0001	0.0001
7	24.8	HZD^6	0.0001	4.6904	11	22	1	22	0.0001	0.0001
8	25.38	HZD^7	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
9	22.39	HZD^8	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
10	20.31	HZD^9	0.2194	4.6904	11	22	0.88	22	0.12	0.1765
11	20.65	HZD^10	0.0001	5.4772	15	30	1	30	0.0001	0.0001
12	13.46	HZD^11	0.2505	4.899	12	24	0.8571	24	0.1429	0.2353
13	18.99	HZD^12	0.0648	5.3852	14.5	29	0.9667	29	0.0333	0.0588
14	21.51	HZD^13	0.1085	4.4721	10	20	0.9524	20	0.0476	0.0588
15	20.38	HZD^14	0.0001	5.4772	15	30	1	30	0.0001	0.0001
16	21.98	HZD^15	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
17	21.49	HZD^16	0.0001	5.4772	15	30	1	30	0.0001	0.0001
18	13.25	HZD^17	0.21	4.7958	11.5	23	0.8846	23	0.1154	0.1765
19	23.79	HZD^18	0.0001	4.899	12	24	1	24	0.0001	0.0001
20	21.03	HZD^19	0.0001	5.4772	15	30	1	30	0.0001	0.0001
21	25.63	HZD^20	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
22	16.77	HZD^21	0.0001	5	12.5	25	1	25	0.0001	0.0001
23	26.61	HZD^22	0.0001	5.2915	14	28	1	28	0.0001	0.0001
24	18.61	HZD^23	0.14	5	12.5	25	0.9259	25	0.0741	0.1176
25	23.8	HZD^24	0.0001	5.099	13	26	1	26	0.0001	0.0001
26	14.07	HZD^25	0.2925	4.4721	10	20	0.8333	20	0.1667	0.2353
27	24.86	HZD^26	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
28	22.82	HZD^27	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
29	23.09	HZD^28	0.0001	5.2915	14	28	1	28	0.0001	0.0001
30	22.28	HZD^29	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
31	23.68	HZD^30	0.0001	4.899	12	24	1	24	0.0001	0.0001
32	24.57	HZD^31	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
33	20.2	HZD^32	0.0001	6.245	19.5	39	1	39	0.0001	0.0001
34	19.72	HZD^33	0.0001	5.831	17	34	1	34	0.0001	0.0001
35	20.47	HZD^34	0.1534	4.7958	11.5	23	0.92	23	0.08	0.1176
36	11.68	HZD^35	0.5659	3.4641	6	12	0.6316	12	0.3684	0.4118
37	22.68	HZD^36	0.0767	5	12.5	25	0.9615	25	0.0385	0.0588
38	22.1	HZD^37	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
39	24.32	HZD^38	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
40	20.54	HZD^39	0.0001	5.2915	14	28	1	28	0.0001	0.0001
41	24.21	HZD^40	0.0001	5.4772	15	30	1	30	0.0001	0.0001
42	18.13	HZD^41	0.1345	5.099	13	26	0.9286	26	0.0714	0.1176
43	15.54	HZD^42	0.4851	3.7417	7	14	0.7	14	0.3	0.3529
44	21.46	HZD^43	0.0001	5.4772	15	30	1	30	0.0001	0.0001
45	24.11	HZD^44	0.0001	5	12.5	25	1	25	0.0001	0.0001
46	22.88	HZD^45	0.0001	4.899	12	24	1	24	0.0001	0.0001
47	23.43	HZD^46	0.0001	4.899	12	24	1	24	0.0001	0.0001
48	18.18	HZD^47	0.6063	3.6056	6.5	13	0.5652	13	0.4348	0.5882
49	26.07	HZD^48	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
50	20.18	HZD^49	0.0001	4.899	12	24	1	24	0.0001	0.0001
51	18.36	HZD^50	0.07	5.1962	13.5	27	0.9643	27	0.0357	0.0588
52	24.38	HZD^51	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
53	14.93	HZD^52	0.2593	4.7958	11.5	23	0.8519	23	0.1481	0.2353
54	24.82	HZD^53	0.0001	5.5678	15.5	31	1	31	0.0001	0.0001
55	23.49	HZD^54	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
56	25.54	HZD^55	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
57	23.92	HZD^56	0.0001	5.5678	15.5	31	1	31	0.0001	0.0001
58	12.16	HZD^57	0.501	4	8	16	0.6667	16	0.3333	0.4706
59	24.47	HZD^58	0.0001	5.099	13	26	1	26	0.0001	0.0001
60	18.44	HZD^59	0.1345	5.099	13	26	0.9286	26	0.0714	0.1176
61	26.83	HZD^60	0.0001	5.4772	15	30	1	30	0.0001	0.0001
62	20.02	HZD^61	0.14	5	12.5	25	0.9259	25	0.0741	0.1176
63	25.24	HZD^62	0.0001	5.2915	14	28	1	28	0.0001	0.0001
64	25.07	HZD^63	0.0001	5.099	13	26	1	26	0.0001	0.0001
65	25.99	HZD^64	0.0001	4.899	12	24	1	24	0.0001	0.0001
66	21	HZD^65	0.0001	5.4772	15	30	1	30	0.0001	0.0001
67	28.34	HZD^66	0.0001	5.2915	14	28	1	28	0.0001	0.0001
68	11.58	HZD^67	0.5601	3.6056	6.5	13	0.619	13	0.381	0.4706
69	23.78	HZD^68	0.0001	5	12.5	25	1	25	0.0001	0.0001
70	21.04	HZD^69	0.0001	5.4772	15	30	1	30	0.0001	0.0001
71	28.93	HZD^70	0.0001	5	12.5	25	1	25	0.0001	0.0001
72	23.98	HZD^71	0.0917	4.6904	11	22	0.9565	22	0.0435	0.0588
73	18.62	HZD^72	0.0673	5.2915	14	28	0.9655	28	0.0345	0.0588
74	20.92	HZD^73	0.0001	5.2915	14	28	1	28	0.0001	0.0001
75	20.92	HZD^74	0.07	5.1962	13.5	27	0.9643	27	0.0357	0.0588
76	24.32	HZD^75	0.0001	4.6904	11	22	1	22	0.0001	0.0001
77	22.04	HZD^76	0.0001	5.7446	16.5	33	1	33	0.0001	0.0001
78	11.39	HZD^77	0.4583	3.7417	7	14	0.7368	14	0.2632	0.2941
79	21.53	HZD^78	0.0606	5.5678	15.5	31	0.9688	31	0.0312	0.0588
80	27.07	HZD^79	0.0001	5.2915	14	28	1	28	0.0001	0.0001
81	20.81	HZD^80	0.0001	5.2915	14	28	1	28	0.0001	0.0001
82	23.83	HZD^81	0.0001	5.5678	15.5	31	1	31	0.0001	0.0001
83	22.87	HZD^82	0.0001	5.2915	14	28	1	28	0.0001	0.0001
84	26.73	HZD^83	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
85	23.18	HZD^84	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
86	16.73	HZD^85	0.1715	4.5826	10.5	21	0.913	21	0.087	0.1176
87	19.48	HZD^86	0.0001	4.899	12	24	1	24	0.0001	0.0001
88	22.35	HZD^87	0.0001	4.7958	11.5	23	1	23	0.0001	0.0001
89	25.08	HZD^88	0.0001	4.899	12	24	1	24	0.0001	0.0001
90	11.94	HZD^89	0.3656	4.2426	9	18	0.7826	18	0.2174	0.2941
91	23.94	HZD^90	0.0001	5.3852	14.5	29	1	29	0.0001	0.0001
92	23.86	HZD^91	0.0001	5.2915	14	28	1	28	0.0001	0.0001
93	21.11	HZD^92	0.0001	5.1962	13.5	27	1	27	0.0001	0.0001
94	21.93	HZD^93	0.0001	5.4772	15	30	1	30	0.0001	0.0001
95	18.76	HZD^94	0.0808	4.899	12	24	0.96	24	0.04	0.0588
96	16.15	HZD^95	0.07	5.1962	13.5	27	0.9643	27	0.0357	0.0588
