POSE	RMSD_NOFIT	Ligand_name	cosine_similarity(RNA)	euclidean(RNA)	half_square_euclidean(RNA)	manhattan(RNA)	soergel(RNA)	square_euclidean(RNA)	tanimoto(RNA)	tversky(RNA)
1	0.00	23_solution_0^1	1.0	0.01	0.0001	0.0001	0.0001	0.0001	1.0	1.0
2	22.62	HZD^1	0.0001	5.831	17.0	34.0	1.0	34.0	0.0001	0.0001
3	22.41	HZD^2	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
4	23.30	HZD^3	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
5	23.47	HZD^4	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
6	17.86	HZD^5	0.1534	4.7958	11.5	23.0	0.92	23.0	0.08	0.1176
7	20.98	HZD^6	0.0001	5.0	12.5	25.0	1.0	25.0	0.0001	0.0001
8	21.13	HZD^7	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
9	22.37	HZD^8	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
10	17.83	HZD^9	0.0673	5.2915	14.0	28.0	0.9655	28.0	0.0345	0.0588
11	12.94	HZD^10	0.2691	4.6904	11.0	22.0	0.8462	22.0	0.1538	0.2353
12	18.47	HZD^11	0.6063	3.6056	6.5	13.0	0.5652	13.0	0.4348	0.5882
13	21.39	HZD^12	0.1715	4.5826	10.5	21.0	0.913	21.0	0.087	0.1176
14	22.70	HZD^13	0.0001	4.899	12.0	24.0	1.0	24.0	0.0001	0.0001
15	20.06	HZD^14	0.2301	4.5826	10.5	21.0	0.875	21.0	0.125	0.1765
16	22.07	HZD^15	0.0001	5.6569	16.0	32.0	1.0	32.0	0.0001	0.0001
17	25.38	HZD^16	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
18	22.47	HZD^17	0.0767	5.0	12.5	25.0	0.9615	25.0	0.0385	0.0588
19	21.33	HZD^18	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
20	20.81	HZD^19	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
21	14.49	HZD^20	0.2018	4.899	12.0	24.0	0.8889	24.0	0.1111	0.1765
22	24.79	HZD^21	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
23	23.82	HZD^22	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
24	17.67	HZD^23	0.1617	4.6904	11.0	22.0	0.9167	22.0	0.0833	0.1176
25	23.01	HZD^24	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
26	20.78	HZD^25	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
27	23.11	HZD^26	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
28	20.55	HZD^27	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
29	20.94	HZD^28	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
30	24.15	HZD^29	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
31	22.10	HZD^30	0.07	5.1962	13.5	27.0	0.9643	27.0	0.0357	0.0588
32	22.63	HZD^31	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
33	15.91	HZD^32	0.1296	5.1962	13.5	27.0	0.931	27.0	0.069	0.1176
34	19.55	HZD^33	0.14	5.0	12.5	25.0	0.9259	25.0	0.0741	0.1176
35	24.10	HZD^34	0.0673	5.2915	14.0	28.0	0.9655	28.0	0.0345	0.0588
36	21.16	HZD^35	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
37	20.25	HZD^36	0.2194	4.6904	11.0	22.0	0.88	22.0	0.12	0.1765
38	21.89	HZD^37	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
39	22.47	HZD^38	0.0673	5.2915	14.0	28.0	0.9655	28.0	0.0345	0.0588
40	24.53	HZD^39	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
41	17.62	HZD^40	0.0648	5.3852	14.5	29.0	0.9667	29.0	0.0333	0.0588
42	21.31	HZD^41	0.0673	5.2915	14.0	28.0	0.9655	28.0	0.0345	0.0588
43	14.27	HZD^42	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
44	21.87	HZD^43	0.0767	5.0	12.5	25.0	0.9615	25.0	0.0385	0.0588
45	13.83	HZD^44	0.2018	4.899	12.0	24.0	0.8889	24.0	0.1111	0.1765
46	19.40	HZD^45	0.2801	4.5826	10.5	21.0	0.84	21.0	0.16	0.2353
47	22.94	HZD^46	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
48	25.55	HZD^47	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
49	21.58	HZD^48	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
50	20.60	HZD^49	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
51	16.98	HZD^50	0.4384	4.2426	9.0	18.0	0.72	18.0	0.28	0.4118
52	23.40	HZD^51	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
53	13.79	HZD^52	0.1534	4.7958	11.5	23.0	0.92	23.0	0.08	0.1176
54	21.26	HZD^53	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
55	21.41	HZD^54	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
56	22.55	HZD^55	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
57	18.26	HZD^56	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
58	18.93	HZD^57	0.21	4.7958	11.5	23.0	0.8846	23.0	0.1154	0.1765
59	11.93	HZD^58	0.3835	4.1231	8.5	17.0	0.7727	17.0	0.2273	0.2941
60	24.55	HZD^59	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
61	21.37	HZD^60	0.0001	5.6569	16.0	32.0	1.0	32.0	0.0001	0.0001
62	21.83	HZD^61	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
63	20.02	HZD^62	0.07	5.1962	13.5	27.0	0.9643	27.0	0.0357	0.0588
64	22.48	HZD^63	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
65	17.33	HZD^64	0.0731	5.099	13.0	26.0	0.963	26.0	0.037	0.0588
66	21.73	HZD^65	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
67	18.60	HZD^66	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
68	17.29	HZD^67	0.5834	3.6056	6.5	13.0	0.5909	13.0	0.4091	0.5294
69	26.74	HZD^68	0.0001	5.099	13.0	26.0	1.0	26.0	0.0001	0.0001
70	20.82	HZD^69	0.0001	5.7446	16.5	33.0	1.0	33.0	0.0001	0.0001
71	20.43	HZD^70	0.0857	4.7958	11.5	23.0	0.9583	23.0	0.0417	0.0588
72	23.34	HZD^71	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
73	23.60	HZD^72	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
74	18.88	HZD^73	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
75	22.35	HZD^74	0.0001	5.3852	14.5	29.0	1.0	29.0	0.0001	0.0001
76	23.19	HZD^75	0.0001	5.2915	14.0	28.0	1.0	28.0	0.0001	0.0001
77	22.09	HZD^76	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
78	20.44	HZD^77	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
79	22.66	HZD^78	0.0001	5.4772	15.0	30.0	1.0	30.0	0.0001	0.0001
80	20.78	HZD^79	0.0001	5.5678	15.5	31.0	1.0	31.0	0.0001	0.0001
81	10.18	HZD^80	0.2194	4.6904	11.0	22.0	0.88	22.0	0.12	0.1765
82	21.95	HZD^81	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
83	21.93	HZD^82	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
84	24.47	HZD^83	0.0001	5.1962	13.5	27.0	1.0	27.0	0.0001	0.0001
