Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0001	0.0606	0.1296	0.3131	0.3835	0.3032	0.2782	0.2858	0.5293	0.5145	0.3338	0.2941	0.4706	0.4234	0.2505	0.2941	0.3176	0.3395	0.2712	0.21	0.2287		0.1833	0.1833	0.2425	0.0001	0.0001	0.0001	0.2925	0.1534
Bujnicki_01^1	0.0001	1.0	0.2261	0.0001	0.0001	0.0001	0.0001	0.0692	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0731	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.1421	0.2509	0.087	0.0001	0.1907
Bujnicki_02^1	0.0606	0.2261	1.0	0.0001	0.0001	0.0001	0.0001	0.0574	0.0589	0.0546	0.0589	0.1721	0.1819	0.0606	0.0546	0.0645	0.0606	0.0546	0.05	0.0559	0.0001	0.0589		0.0945	0.0945	0.0833	0.2357	0.2774	0.2887	0.0001	0.1581
Bujnicki_03^1	0.1296	0.0001	0.0001	1.0	0.0001	0.0845	0.0001	0.1226	0.063	0.175	0.189	0.1226	0.1945	0.0648	0.1166	0.138	0.1296	0.175	0.2138	0.1793	0.1543	0.252		0.101	0.101	0.1782	0.126	0.0001	0.1543	0.0806	0.0845
Chen_01^1	0.3131	0.0001	0.0001	0.0001	1.0	0.6532	0.8391	0.0592	0.0609	0.2817	0.1217	0.1777	0.0626	0.0626	0.169	0.0667	0.1252	0.2254	0.2582	0.2309	0.0745	0.1217		0.0976	0.0976	0.1721	0.0001	0.0001	0.0001	0.1557	0.0001
Chen_02^1	0.3835	0.0001	0.0001	0.0845	0.6532	1.0	0.7115	0.0001	0.0001	0.207	0.1491	0.1451	0.0001	0.0767	0.138	0.0001	0.0767	0.276	0.253	0.2828	0.0913	0.1491		0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1907	0.0001
Chen_03^1	0.3032	0.0001	0.0001	0.0001	0.8391	0.7115	1.0	0.0574	0.1179	0.2728	0.1768	0.1721	0.1213	0.0606	0.1637	0.1291	0.1213	0.3819	0.3	0.3354	0.2165	0.1768		0.0945	0.0945	0.1667	0.0001	0.0001	0.0001	0.1508	0.0001
Das_01^1	0.2782	0.0692	0.0574	0.1226	0.0592	0.0001	0.0574	1.0	0.703	0.5006	0.5407	0.5263	0.3895	0.6677	0.7509	0.5923	0.5008	0.4005	0.3212	0.3078	0.3311	0.4326		0.3468	0.3468	0.3059	0.0001	0.0001	0.0001	0.1383	0.2902
Das_02^1	0.2858	0.0001	0.0589	0.063	0.0609	0.0001	0.1179	0.703	1.0	0.5658	0.6111	0.5948	0.6288	0.686	0.7201	0.6694	0.5145	0.5143	0.3771	0.3689	0.4082	0.5		0.2673	0.2673	0.3143	0.0001	0.0001	0.0001	0.0711	0.2981
Das_03^1	0.5293	0.0001	0.0546	0.175	0.2817	0.207	0.2728	0.5006	0.5658	1.0	0.5658	0.6508	0.5822	0.688	0.7143	0.5634	0.5822	0.5714	0.4801	0.2928	0.315	0.4115		0.3299	0.3299	0.5092	0.0001	0.0001	0.0001	0.0658	0.207
