Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0609	0.1143	0.1361	0.3244	0.315	0.3518	0.343	0.4444	0.5406	0.5	0.4573	0.5	0.426	0.4444	0.3889	0.3889	0.4714	0.4869	0.5303	0.2843	0.2722		0.3563	0.3563	0.2843	0.0001	0.0001	0.0001	0.1667	0.1715
Bujnicki_01^1	0.0609	1.0	0.3131	0.1491	0.0001	0.069	0.1101	0.0626	0.1217	0.0538	0.0609	0.0626	0.1217	0.0001	0.0001	0.0609	0.1217	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.2635	0.2887	0.2369	0.1217	0.1879
Bujnicki_02^1	0.1143	0.3131	1.0	0.0001	0.0001	0.0001	0.1034	0.0588	0.1143	0.1011	0.1143	0.1176	0.1715	0.0626	0.0572	0.1143	0.0001	0.0606	0.0626	0.0606	0.0001	0.0001		0.0917	0.0917	0.0731	0.3961	0.2712	0.3895	0.0001	0.1176
Bujnicki_03^1	0.1361	0.1491	0.0001	1.0	0.0001	0.0772	0.0001	0.2801	0.1361	0.1806	0.2722	0.2801	0.2722	0.1491	0.2041	0.1361	0.2722	0.2165	0.2236	0.2887	0.1741	0.25		0.1091	0.1091	0.087	0.1179	0.1291	0.1325	0.068	0.14
Chen_01^1	0.3244	0.0001	0.0001	0.0001	1.0	0.7358	0.8804	0.0556	0.1622	0.3827	0.2163	0.3338	0.2163	0.2962	0.2163	0.2704	0.2163	0.2294	0.2369	0.3441	0.1383	0.1325		0.1734	0.1734	0.2075	0.0001	0.0001	0.0001	0.2163	0.0001
Chen_02^1	0.315	0.069	0.0001	0.0772	0.7358	1.0	0.6838	0.1296	0.063	0.3344	0.189	0.1945	0.063	0.138	0.189	0.126	0.126	0.1336	0.138	0.2673	0.0806	0.0772		0.101	0.101	0.0806	0.0001	0.0001	0.0001	0.189	0.0648
Chen_03^1	0.3518	0.1101	0.1034	0.0001	0.8804	0.6838	1.0	0.1034	0.3015	0.489	0.3015	0.4137	0.3015	0.3303	0.3015	0.3518	0.201	0.2665	0.2752	0.3731	0.1286	0.1231		0.2417	0.2417	0.2571	0.0001	0.0001	0.0001	0.201	0.0001
Das_01^1	0.343	0.0626	0.0588	0.2801	0.0556	0.1296	0.1034	1.0	0.6288	0.4551	0.5145	0.3529	0.4002	0.5636	0.686	0.4573	0.2858	0.3638	0.3757	0.4244	0.4388	0.4901		0.4583	0.4583	0.5119	0.0001	0.0001	0.0001	0.1715	0.1765
Das_02^1	0.4444	0.1217	0.1143	0.1361	0.1622	0.063	0.3015	0.6288	1.0	0.5406	0.5556	0.4573	0.5556	0.6086	0.5556	0.6667	0.3333	0.5303	0.4869	0.4714	0.4264	0.4763		0.4454	0.4454	0.5685	0.0001	0.0001	0.0001	0.1111	0.1143
Das_03^1	0.5406	0.0538	0.1011	0.1806	0.3827	0.3344	0.489	0.4551	0.5406	1.0	0.5898	0.7586	0.5406	0.6461	0.6881	0.5898	0.344	0.5213	0.5384	0.5734	0.3772	0.4214		0.3941	0.3941	0.4401	0.0001	0.0001	0.0001	0.1474	0.2023
Das_04^1	0.5	0.0609	0.1143	0.2722	0.2163	0.189	0.3015	0.5145	0.5556	0.5898	1.0	0.6288	0.6111	0.6086	0.5556	0.6667	0.4444	0.6482	0.6086	0.6482	0.4975	0.5443		0.3563	0.3563	0.4264	0.0001	0.0001	0.0001	0.1667	0.1715
Das_05^1	0.4573	0.0626	0.1176	0.2801	0.3338	0.1945	0.4137	0.3529	0.4573	0.7586	0.6288	1.0	0.5145	0.7515	0.6288	0.6288	0.4573	0.5457	0.5636	0.5457	0.2925	0.3501		0.275	0.275	0.3656	0.0001	0.0001	0.0001	0.1143	0.1176
Das_06^1	0.5	0.1217	0.1715	0.2722	0.2163	0.063	0.3015	0.4002	0.5556	0.5406	0.6111	0.5145	1.0	0.3651	0.3333	0.5556	0.5	0.5303	0.4869	0.4125	0.3553	0.4082		0.3563	0.3563	0.4264	0.0001	0.0001	0.0001	0.1111	0.1715
Das_07^1	0.426	0.0001	0.0626	0.1491	0.2962	0.138	0.3303	0.5636	0.6086	0.6461	0.6086	0.7515	0.3651	1.0	0.7303	0.5477	0.4869	0.4518	0.4667	0.5164	0.3114	0.3727		0.2928	0.2928	0.4671	0.0001	0.0001	0.0001	0.1217	0.1252
Das_08^1	0.4444	0.0001	0.0572	0.2041	0.2163	0.189	0.3015	0.686	0.5556	0.6881	0.5556	0.6288	0.3333	0.7303	1.0	0.4444	0.3333	0.4125	0.426	0.4714	0.3553	0.4082		0.4454	0.4454	0.4264	0.0001	0.0001	0.0001	0.1667	0.1715
Das_09^1	0.3889	0.0609	0.1143	0.1361	0.2704	0.126	0.3518	0.4573	0.6667	0.5898	0.6667	0.6288	0.5556	0.5477	0.4444	1.0	0.3333	0.5893	0.5477	0.5893	0.4264	0.4763		0.2673	0.2673	0.3553	0.0481	0.0527	0.0541	0.1111	0.0572
Das_10^1	0.3889	0.1217	0.0001	0.2722	0.2163	0.126	0.201	0.2858	0.3333	0.344	0.4444	0.4573	0.5	0.4869	0.3333	0.3333	1.0	0.4125	0.426	0.3536	0.3553	0.4082		0.1782	0.1782	0.4264	0.1443	0.1581	0.1622	0.2778	0.1715
Ding_01^1	0.4714	0.0001	0.0606	0.2165	0.2294	0.1336	0.2665	0.3638	0.5303	0.5213	0.6482	0.5457	0.5303	0.4518	0.4125	0.5893	0.4125	1.0	0.9037	0.6875	0.603	0.6495		0.4725	0.4725	0.5276	0.0001	0.0001	0.0001	0.2946	0.1213
Ding_02^1	0.4869	0.0001	0.0626	0.2236	0.2369	0.138	0.2752	0.3757	0.4869	0.5384	0.6086	0.5636	0.4869	0.4667	0.426	0.5477	0.426	0.9037	1.0	0.6455	0.6228	0.6708		0.488	0.488	0.5449	0.0001	0.0001	0.0001	0.3043	0.1252
Ding_03^1	0.5303	0.0001	0.0606	0.2887	0.3441	0.2673	0.3731	0.4244	0.4714	0.5734	0.6482	0.5457	0.4125	0.5164	0.4714	0.5893	0.3536	0.6875	0.6455	1.0	0.603	0.6495		0.4725	0.4725	0.4523	0.0001	0.0001	0.0001	0.2357	0.1213
Ding_04^1	0.2843	0.0001	0.0001	0.1741	0.1383	0.0806	0.1286	0.4388	0.4264	0.3772	0.4975	0.2925	0.3553	0.3114	0.3553	0.4264	0.3553	0.603	0.6228	0.603	1.0	0.8704		0.4558	0.4558	0.5455	0.0001	0.0001	0.0001	0.2843	0.0001
Ding_05^1	0.2722	0.0001	0.0001	0.25	0.1325	0.0772	0.1231	0.4901	0.4763	0.4214	0.5443	0.3501	0.4082	0.3727	0.4082	0.4763	0.4082	0.6495	0.6708	0.6495	0.8704	1.0		0.4364	0.4364	0.5222	0.0001	0.0001	0.0001	0.2722	0.07
Dokholyan_01^1																															
RNAComposerHuman_01^1	0.3563	0.0001	0.0917	0.1091	0.1734	0.101	0.2417	0.4583	0.4454	0.3941	0.3563	0.275	0.3563	0.2928	0.4454	0.2673	0.1782	0.4725	0.488	0.4725	0.4558	0.4364		1.0	1.0	0.7977	0.0001	0.0001	0.0001	0.1782	0.0001
RNAComposerHuman_02^1	0.3563	0.0001	0.0917	0.1091	0.1734	0.101	0.2417	0.4583	0.4454	0.3941	0.3563	0.275	0.3563	0.2928	0.4454	0.2673	0.1782	0.4725	0.488	0.4725	0.4558	0.4364		1.0	1.0	0.7977	0.0001	0.0001	0.0001	0.1782	0.0001
RNAComposerHuman_03^1	0.2843	0.0001	0.0731	0.087	0.2075	0.0806	0.2571	0.5119	0.5685	0.4401	0.4264	0.3656	0.4264	0.4671	0.4264	0.3553	0.4264	0.5276	0.5449	0.4523	0.5455	0.5222		0.7977	0.7977	1.0	0.0001	0.0001	0.0001	0.3553	0.0001
Xiao_01^1	0.0001	0.2635	0.3961	0.1179	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0481	0.1443	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	1.0	0.8672	0.8429	0.3849	0.3466
Xiao_02^1	0.0001	0.2887	0.2712	0.1291	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0527	0.1581	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.8672	1.0	0.8721	0.4216	0.4339
Xiao_03^1	0.0001	0.2369	0.3895	0.1325	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0541	0.1622	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.8429	0.8721	1.0	0.3785	0.3338
Xiao_04^1	0.1667	0.1217	0.0001	0.068	0.2163	0.189	0.201	0.1715	0.1111	0.1474	0.1667	0.1143	0.1111	0.1217	0.1667	0.1111	0.2778	0.2946	0.3043	0.2357	0.2843	0.2722		0.1782	0.1782	0.3553	0.3849	0.4216	0.3785	1.0	0.1143
Xiao_05^1	0.1715	0.1879	0.1176	0.14	0.0001	0.0648	0.0001	0.1765	0.1143	0.2023	0.1715	0.1176	0.1715	0.1252	0.1715	0.0572	0.1715	0.1213	0.1252	0.1213	0.0001	0.07		0.0001	0.0001	0.0001	0.3466	0.4339	0.3338	0.1143	1.0
