Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	0.0001	31.0	31.0	26.0	25.0	22.0	26.0	23.0	20.0	19.0	18.0	19.0	18.0	19.0	20.0	22.0	22.0	18.0	17.0	16.0	21.0	22.0	18.0	17.0	17.0	21.0	42.0	38.0	37.0	30.0	29.0
Bujnicki_01^1	31.0	0.0001	22.0	23.0	34.0	27.0	33.0	30.0	29.0	36.0	31.0	30.0	29.0	30.0	33.0	31.0	29.0	31.0	30.0	31.0	26.0	27.0	15.0	22.0	22.0	26.0	29.0	25.0	26.0	29.0	26.0
Bujnicki_02^1	31.0	22.0	0.0001	29.0	36.0	31.0	35.0	32.0	31.0	36.0	31.0	30.0	29.0	30.0	33.0	31.0	35.0	31.0	30.0	31.0	28.0	29.0	17.0	22.0	22.0	26.0	25.0	27.0	22.0	35.0	30.0
Bujnicki_03^1	26.0	23.0	29.0	0.0001	31.0	24.0	34.0	21.0	26.0	29.0	22.0	21.0	22.0	23.0	24.0	26.0	22.0	22.0	21.0	20.0	19.0	18.0	12.0	17.0	17.0	21.0	32.0	28.0	27.0	28.0	25.0
Chen_01^1	25.0	34.0	36.0	31.0	0.0001	9.0	5.0	34.0	31.0	26.0	29.0	24.0	29.0	24.0	29.0	27.0	29.0	27.0	26.0	23.0	26.0	27.0	19.0	22.0	22.0	24.0	43.0	39.0	38.0	29.0	36.0
Chen_02^1	22.0	27.0	31.0	24.0	9.0	0.0001	12.0	27.0	30.0	25.0	26.0	25.0	30.0	25.0	26.0	28.0	28.0	26.0	25.0	22.0	23.0	24.0	14.0	19.0	19.0	23.0	38.0	34.0	33.0	26.0	29.0
Chen_03^1	26.0	33.0	35.0	34.0	5.0	12.0	0.0001	35.0	28.0	23.0	28.0	23.0	28.0	25.0	28.0	26.0	32.0	28.0	27.0	24.0	29.0	30.0	22.0	23.0	23.0	25.0	46.0	42.0	41.0	32.0	39.0
Das_01^1	23.0	30.0	32.0	21.0	34.0	27.0	35.0	0.0001	13.0	22.0	17.0	22.0	21.0	14.0	11.0	19.0	25.0	21.0	20.0	19.0	16.0	15.0	17.0	14.0	14.0	14.0	41.0	37.0	36.0	29.0	28.0
Das_02^1	20.0	29.0	31.0	26.0	31.0	30.0	28.0	13.0	0.0001	19.0	16.0	19.0	16.0	13.0	16.0	12.0	24.0	16.0	17.0	18.0	17.0	16.0	18.0	15.0	15.0	13.0	42.0	38.0	37.0	32.0	31.0
Das_03^1	19.0	36.0	36.0	29.0	26.0	25.0	23.0	22.0	19.0	0.0001	17.0	10.0	19.0	14.0	13.0	17.0	27.0	19.0	18.0	17.0	22.0	21.0	23.0	20.0	20.0	20.0	47.0	43.0	42.0	35.0	32.0
Das_04^1	18.0	31.0	31.0	22.0	29.0	26.0	28.0	17.0	16.0	17.0	0.0001	13.0	14.0	13.0	16.0	12.0	20.0	12.0	13.0	12.0	15.0	14.0	18.0	17.0	17.0	17.0	42.0	38.0	37.0	30.0	29.0
Das_05^1	19.0	30.0	30.0	21.0	24.0	25.0	23.0	22.0	19.0	10.0	13.0	0.0001	17.0	8.0	13.0	13.0	19.0	15.0	14.0	15.0	20.0	19.0	17.0	18.0	18.0	18.0	41.0	37.0	36.0	31.0	30.0
Das_06^1	18.0	29.0	29.0	22.0	29.0	30.0	28.0	21.0	16.0	19.0	14.0	17.0	0.0001	21.0	24.0	16.0	18.0	16.0	17.0	20.0	19.0	18.0	18.0	17.0	17.0	17.0	42.0	38.0	37.0	32.0	29.0
Das_07^1	19.0	30.0	30.0	23.0	24.0	25.0	25.0	14.0	13.0	14.0	13.0	8.0	21.0	0.0001	9.0	15.0	17.0	17.0	16.0	15.0	18.0	17.0	15.0	16.0	16.0	14.0	39.0	35.0	34.0	29.0	28.0
Das_08^1	20.0	33.0	33.0	24.0	29.0	26.0	28.0	11.0	16.0	13.0	16.0	13.0	24.0	9.0	0.0001	20.0	24.0	20.0	19.0	18.0	19.0	18.0	18.0	15.0	15.0	17.0	42.0	38.0	37.0	30.0	29.0
Das_09^1	22.0	31.0	31.0	26.0	27.0	28.0	26.0	19.0	12.0	17.0	12.0	13.0	16.0	15.0	20.0	0.0001	24.0	14.0	15.0	14.0	17.0	16.0	18.0	19.0	19.0	19.0	40.0	36.0	35.0	32.0	33.0
Das_10^1	22.0	29.0	35.0	22.0	29.0	28.0	32.0	25.0	24.0	27.0	20.0	19.0	18.0	17.0	24.0	24.0	0.0001	20.0	19.0	22.0	19.0	18.0	18.0	21.0	21.0	17.0	36.0	32.0	31.0	26.0	29.0
Ding_01^1	18.0	31.0	31.0	22.0	27.0	26.0	28.0	21.0	16.0	19.0	12.0	15.0	16.0	17.0	20.0	14.0	20.0	0.0001	3.0	10.0	11.0	10.0	16.0	13.0	13.0	13.0	40.0	36.0	35.0	24.0	29.0
Ding_02^1	17.0	30.0	30.0	21.0	26.0	25.0	27.0	20.0	17.0	18.0	13.0	14.0	17.0	16.0	19.0	15.0	19.0	3.0	0.0001	11.0	10.0	9.0	15.0	12.0	12.0	12.0	39.0	35.0	34.0	23.0	28.0
Ding_03^1	16.0	31.0	31.0	20.0	23.0	22.0	24.0	19.0	18.0	17.0	12.0	15.0	20.0	15.0	18.0	14.0	22.0	10.0	11.0	0.0001	11.0	10.0	16.0	13.0	13.0	15.0	40.0	36.0	35.0	26.0	29.0
Ding_04^1	21.0	26.0	28.0	19.0	26.0	23.0	29.0	16.0	17.0	22.0	15.0	20.0	19.0	18.0	19.0	17.0	19.0	11.0	10.0	11.0	0.0001	3.0	11.0	10.0	10.0	10.0	35.0	31.0	30.0	21.0	28.0
Ding_05^1	22.0	27.0	29.0	18.0	27.0	24.0	30.0	15.0	16.0	21.0	14.0	19.0	18.0	17.0	18.0	16.0	18.0	10.0	9.0	10.0	3.0	0.0001	12.0	11.0	11.0	11.0	36.0	32.0	31.0	22.0	27.0
Dokholyan_01^1	18.0	15.0	17.0	12.0	19.0	14.0	22.0	17.0	18.0	23.0	18.0	17.0	18.0	15.0	18.0	18.0	18.0	16.0	15.0	16.0	11.0	12.0	0.0001	7.0	7.0	11.0	24.0	20.0	19.0	18.0	17.0
RNAComposerHuman_01^1	17.0	22.0	22.0	17.0	22.0	19.0	23.0	14.0	15.0	20.0	17.0	18.0	17.0	16.0	15.0	19.0	21.0	13.0	12.0	13.0	10.0	11.0	7.0	0.0001	0.0001	4.0	31.0	27.0	26.0	21.0	24.0
