Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0312	0.0606	0.0714	0.1935	0.1852	0.2121	0.2069	0.2857	0.3667	0.3333	0.2963	0.3333	0.2692	0.2857	0.2414	0.2414	0.3077	0.32	0.36	0.16	0.1538	0.0001	0.1905	0.1905	0.16	0.0001	0.0001	0.0001	0.0909	0.0938
Bujnicki_01^1	0.0312	1.0	0.1852	0.08	0.0001	0.0357	0.0571	0.0323	0.0645	0.027	0.0312	0.0323	0.0645	0.0001	0.0001	0.0312	0.0645	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1471	0.1667	0.1333	0.0645	0.1034
Bujnicki_02^1	0.0606	0.1852	1.0	0.0001	0.0001	0.0001	0.0541	0.0303	0.0606	0.0526	0.0606	0.0625	0.0938	0.0323	0.0294	0.0606	0.0001	0.0312	0.0323	0.0312	0.0001	0.0001	0.0001	0.0435	0.0435	0.037	0.2424	0.1562	0.2414	0.0001	0.0625
Bujnicki_03^1	0.0714	0.08	0.0001	1.0	0.0001	0.04	0.0001	0.16	0.0714	0.0938	0.1538	0.16	0.1538	0.08	0.1111	0.0714	0.1538	0.12	0.125	0.1667	0.0952	0.1429	0.0001	0.0556	0.0556	0.0455	0.0588	0.0667	0.069	0.0345	0.0741
Chen_01^1	0.1935	0.0001	0.0001	0.0001	1.0	0.5714	0.7826	0.0286	0.0882	0.2353	0.1212	0.2	0.1212	0.1724	0.1212	0.1562	0.1212	0.129	0.1333	0.2069	0.0714	0.069	0.0001	0.0833	0.0833	0.1111	0.0001	0.0001	0.0001	0.1212	0.0001
Chen_02^1	0.1852	0.0357	0.0001	0.04	0.5714	1.0	0.5	0.069	0.0323	0.1935	0.1034	0.1071	0.0323	0.0741	0.1034	0.0667	0.0667	0.0714	0.0741	0.1538	0.0417	0.04	0.0001	0.05	0.05	0.0417	0.0001	0.0001	0.0001	0.1034	0.0333
Chen_03^1	0.2121	0.0571	0.0541	0.0001	0.7826	0.5	1.0	0.0541	0.1765	0.3235	0.1765	0.2581	0.1765	0.1935	0.1765	0.2121	0.1111	0.1515	0.1562	0.2258	0.0645	0.0625	0.0001	0.1154	0.1154	0.1379	0.0001	0.0001	0.0001	0.1111	0.0001
Das_01^1	0.2069	0.0323	0.0303	0.16	0.0286	0.069	0.0541	1.0	0.4583	0.2903	0.3462	0.2143	0.25	0.3913	0.5217	0.2963	0.1667	0.2222	0.2308	0.2692	0.2727	0.3182	0.0001	0.2632	0.2632	0.3333	0.0001	0.0001	0.0001	0.0938	0.0968
Das_02^1	0.2857	0.0645	0.0606	0.0714	0.0882	0.0323	0.1765	0.4583	1.0	0.3667	0.3846	0.2963	0.3846	0.4348	0.3846	0.5	0.2	0.36	0.32	0.3077	0.2609	0.3043	0.0001	0.25	0.25	0.381	0.0001	0.0001	0.0001	0.0588	0.0606
Das_03^1	0.3667	0.027	0.0526	0.0938	0.2353	0.1935	0.3235	0.2903	0.3667	1.0	0.4138	0.6	0.3667	0.4615	0.5185	0.4138	0.2059	0.3448	0.3571	0.3929	0.2143	0.25	0.0001	0.2	0.2	0.2593	0.0001	0.0001	0.0001	0.0789	0.1111
