Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.1179	0.1111	0.2222	0.3333	0.504	0.4216	0.4216	0.4216	0.6472	0.603	0.527	0.6325	0.527	0.5774	0.4811	0.5025	0.603	0.603	0.6325	0.4714	0.4444		0.5443	0.5443	0.4444	0.0001	0.0001	0.0001	0.2887	0.3333
Bujnicki_01^1	0.1179	1.0	0.4714	0.2357	0.1179	0.1336	0.2236	0.2236	0.2236	0.1961	0.1066	0.1118	0.2236	0.1118	0.1021	0.1021	0.2132	0.1066	0.1066	0.1118	0.125	0.1179		0.1443	0.1443	0.1179	0.4725	0.4903	0.4082	0.2041	0.3536
Bujnicki_02^1	0.1111	0.4714	1.0	0.1111	0.0001	0.0001	0.1054	0.1054	0.1054	0.0925	0.1005	0.1054	0.2108	0.1054	0.0962	0.0962	0.1005	0.1005	0.1005	0.1054	0.1179	0.1111		0.1361	0.1361	0.1111	0.5345	0.4623	0.4811	0.0001	0.2222
Bujnicki_03^1	0.2222	0.2357	0.1111	1.0	0.1111	0.126	0.1054	0.3162	0.3162	0.3698	0.402	0.3162	0.4216	0.2108	0.2887	0.2887	0.3015	0.402	0.402	0.3162	0.3536	0.3333		0.2722	0.2722	0.4444	0.3563	0.3698	0.3849	0.2887	0.4444
Chen_01^1	0.3333	0.1179	0.0001	0.1111	1.0	0.7559	0.9487	0.3162	0.4216	0.5547	0.201	0.4216	0.3162	0.4216	0.3849	0.4811	0.201	0.402	0.402	0.4216	0.2357	0.2222		0.2722	0.2722	0.3333	0.0001	0.0001	0.0001	0.2887	0.0001
Chen_02^1	0.504	0.1336	0.0001	0.126	0.7559	1.0	0.7171	0.3586	0.239	0.5241	0.2279	0.239	0.239	0.1195	0.3273	0.3273	0.114	0.2279	0.2279	0.3586	0.1336	0.126		0.3086	0.3086	0.252	0.0001	0.0001	0.0001	0.2182	0.126
Chen_03^1	0.4216	0.2236	0.1054	0.1054	0.9487	0.7171	1.0	0.4	0.5	0.6139	0.286	0.5	0.4	0.5	0.4564	0.5477	0.286	0.4767	0.4767	0.5	0.3354	0.3162		0.3873	0.3873	0.4216	0.0001	0.0001	0.0001	0.2739	0.0001
Das_01^1	0.4216	0.2236	0.1054	0.3162	0.3162	0.3586	0.4	1.0	0.8	0.5262	0.7628	0.4	0.5	0.6	0.7303	0.5477	0.3814	0.5721	0.5721	0.6	0.6708	0.7379		0.5164	0.5164	0.527	0.0001	0.0001	0.0001	0.1826	0.3162
Das_02^1	0.4216	0.2236	0.1054	0.3162	0.4216	0.239	0.5	0.8	1.0	0.7016	0.6674	0.6	0.6	0.8	0.7303	0.5477	0.4767	0.5721	0.5721	0.5	0.559	0.6325		0.5164	0.5164	0.6325	0.0001	0.0001	0.0001	0.1826	0.3162
Das_03^1	0.6472	0.1961	0.0925	0.3698	0.5547	0.5241	0.6139	0.5262	0.7016	1.0	0.669	0.8771	0.7016	0.7016	0.7206	0.7206	0.5854	0.7526	0.7526	0.6139	0.4903	0.5547		0.5661	0.5661	0.6472	0.0001	0.0001	0.0001	0.2402	0.3698
Das_04^1	0.603	0.1066	0.1005	0.402	0.201	0.2279	0.286	0.7628	0.6674	0.669	1.0	0.6674	0.7628	0.7628	0.8704	0.6963	0.6364	0.8182	0.8182	0.7628	0.7462	0.804		0.4924	0.4924	0.603	0.0001	0.0001	0.0001	0.2611	0.402
Das_05^1	0.527	0.1118	0.1054	0.3162	0.4216	0.239	0.5	0.4	0.6	0.8771	0.6674	1.0	0.7	0.8	0.7303	0.8216	0.6674	0.7628	0.7628	0.6	0.4472	0.527		0.3873	0.3873	0.527	0.0001	0.0001	0.0001	0.1826	0.3162
Das_06^1	0.6325	0.2236	0.2108	0.4216	0.3162	0.239	0.4	0.5	0.6	0.7016	0.7628	0.7	1.0	0.7	0.639	0.7303	0.6674	0.7628	0.7628	0.6	0.559	0.527		0.3873	0.3873	0.527	0.0001	0.0001	0.0001	0.1826	0.3162
Das_07^1	0.527	0.1118	0.1054	0.2108	0.4216	0.1195	0.5	0.6	0.8	0.7016	0.7628	0.8	0.7	1.0	0.8216	0.7303	0.6674	0.7628	0.7628	0.6	0.559	0.6325		0.3873	0.3873	0.527	0.0001	0.0001	0.0001	0.1826	0.3162
Das_08^1	0.5774	0.1021	0.0962	0.2887	0.3849	0.3273	0.4564	0.7303	0.7303	0.7206	0.8704	0.7303	0.639	0.8216	1.0	0.6667	0.5222	0.6963	0.6963	0.639	0.6124	0.6736		0.5893	0.5893	0.5774	0.0001	0.0001	0.0001	0.1667	0.3849
Das_09^1	0.4811	0.1021	0.0962	0.2887	0.4811	0.3273	0.5477	0.5477	0.5477	0.7206	0.6963	0.8216	0.7303	0.7303	0.6667	1.0	0.6963	0.7833	0.7833	0.639	0.5103	0.5774		0.2357	0.2357	0.3849	0.0772	0.0801	0.0833	0.25	0.2887
Das_10^1	0.5025	0.2132	0.1005	0.3015	0.201	0.114	0.286	0.3814	0.4767	0.5854	0.6364	0.6674	0.6674	0.6674	0.5222	0.6963	1.0	0.6364	0.6364	0.4767	0.533	0.5025		0.2462	0.2462	0.5025	0.2417	0.2509	0.2611	0.5222	0.3015
Ding_01^1	0.603	0.1066	0.1005	0.402	0.402	0.2279	0.4767	0.5721	0.5721	0.7526	0.8182	0.7628	0.7628	0.7628	0.6963	0.7833	0.6364	1.0	1.0	0.8581	0.7462	0.804		0.4924	0.4924	0.603	0.0001	0.0001	0.0001	0.3482	0.3015
Ding_02^1	0.603	0.1066	0.1005	0.402	0.402	0.2279	0.4767	0.5721	0.5721	0.7526	0.8182	0.7628	0.7628	0.7628	0.6963	0.7833	0.6364	1.0	1.0	0.8581	0.7462	0.804		0.4924	0.4924	0.603	0.0001	0.0001	0.0001	0.3482	0.3015
Ding_03^1	0.6325	0.1118	0.1054	0.3162	0.4216	0.3586	0.5	0.6	0.5	0.6139	0.7628	0.6	0.6	0.6	0.639	0.639	0.4767	0.8581	0.8581	1.0	0.7826	0.8433		0.5164	0.5164	0.527	0.0001	0.0001	0.0001	0.3651	0.2108
Ding_04^1	0.4714	0.125	0.1179	0.3536	0.2357	0.1336	0.3354	0.6708	0.559	0.4903	0.7462	0.4472	0.559	0.559	0.6124	0.5103	0.533	0.7462	0.7462	0.7826	1.0	0.9428		0.5774	0.5774	0.7071	0.0001	0.0001	0.0001	0.4082	0.1179
Ding_05^1	0.4444	0.1179	0.1111	0.3333	0.2222	0.126	0.3162	0.7379	0.6325	0.5547	0.804	0.527	0.527	0.6325	0.6736	0.5774	0.5025	0.804	0.804	0.8433	0.9428	1.0		0.5443	0.5443	0.6667	0.0001	0.0001	0.0001	0.3849	0.2222
Dokholyan_01^1																															
RNAComposerHuman_01^1	0.5443	0.1443	0.1361	0.2722	0.2722	0.3086	0.3873	0.5164	0.5164	0.5661	0.4924	0.3873	0.3873	0.3873	0.5893	0.2357	0.2462	0.4924	0.4924	0.5164	0.5774	0.5443		1.0	1.0	0.8165	0.0001	0.0001	0.0001	0.2357	0.1361
RNAComposerHuman_02^1	0.5443	0.1443	0.1361	0.2722	0.2722	0.3086	0.3873	0.5164	0.5164	0.5661	0.4924	0.3873	0.3873	0.3873	0.5893	0.2357	0.2462	0.4924	0.4924	0.5164	0.5774	0.5443		1.0	1.0	0.8165	0.0001	0.0001	0.0001	0.2357	0.1361
RNAComposerHuman_03^1	0.4444	0.1179	0.1111	0.4444	0.3333	0.252	0.4216	0.527	0.6325	0.6472	0.603	0.527	0.527	0.527	0.5774	0.3849	0.5025	0.603	0.603	0.527	0.7071	0.6667		0.8165	0.8165	1.0	0.0001	0.0001	0.0001	0.4811	0.1111
Xiao_01^1	0.0001	0.4725	0.5345	0.3563	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0772	0.2417	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	1.0	0.9636	0.9258	0.3858	0.4454
Xiao_02^1	0.0001	0.4903	0.4623	0.3698	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0801	0.2509	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.9636	1.0	0.9608	0.4003	0.4623
Xiao_03^1	0.0001	0.4082	0.4811	0.3849	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0833	0.2611	0.0001	0.0001	0.0001	0.0001	0.0001		0.0001	0.0001	0.0001	0.9258	0.9608	1.0	0.3333	0.4811
Xiao_04^1	0.2887	0.2041	0.0001	0.2887	0.2887	0.2182	0.2739	0.1826	0.1826	0.2402	0.2611	0.1826	0.1826	0.1826	0.1667	0.25	0.5222	0.3482	0.3482	0.3651	0.4082	0.3849		0.2357	0.2357	0.4811	0.3858	0.4003	0.3333	1.0	0.1925
Xiao_05^1	0.3333	0.3536	0.2222	0.4444	0.0001	0.126	0.0001	0.3162	0.3162	0.3698	0.402	0.3162	0.3162	0.3162	0.3849	0.2887	0.3015	0.3015	0.3015	0.2108	0.1179	0.2222		0.1361	0.1361	0.1111	0.4454	0.4623	0.4811	0.1925	1.0
