Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0625	0.0588	0.125	0.2	0.3333	0.2667	0.2667	0.2667	0.4667	0.4286	0.3571	0.4615	0.3571	0.4	0.3125	0.3333	0.4286	0.4286	0.4615	0.3077	0.2857	0.0001	0.3636	0.3636	0.2857	0.0001	0.0001	0.0001	0.1667	0.2
Bujnicki_01^1	0.0625	1.0	0.3077	0.1333	0.0625	0.0714	0.125	0.125	0.125	0.1053	0.0556	0.0588	0.125	0.0588	0.0526	0.0526	0.1176	0.0556	0.0556	0.0588	0.0667	0.0625	0.0001	0.0769	0.0769	0.0625	0.2941	0.3125	0.25	0.1111	0.2143
Bujnicki_02^1	0.0588	0.3077	1.0	0.0588	0.0001	0.0001	0.0556	0.0556	0.0556	0.0476	0.0526	0.0556	0.1176	0.0556	0.05	0.05	0.0526	0.0526	0.0526	0.0556	0.0625	0.0588	0.0001	0.0714	0.0714	0.0588	0.3529	0.2941	0.3125	0.0001	0.125
Bujnicki_03^1	0.125	0.1333	0.0588	1.0	0.0588	0.0667	0.0556	0.1875	0.1875	0.2222	0.25	0.1875	0.2667	0.1176	0.1667	0.1667	0.1765	0.25	0.25	0.1875	0.2143	0.2	0.0001	0.1538	0.1538	0.2857	0.2105	0.2222	0.2353	0.1667	0.2857
Chen_01^1	0.2	0.0625	0.0001	0.0588	1.0	0.6	0.9	0.1875	0.2667	0.375	0.1111	0.2667	0.1875	0.2667	0.2353	0.3125	0.1111	0.25	0.25	0.2667	0.1333	0.125	0.0001	0.1538	0.1538	0.2	0.0001	0.0001	0.0001	0.1667	0.0001
Chen_02^1	0.3333	0.0714	0.0001	0.0667	0.6	1.0	0.5455	0.2143	0.1333	0.3333	0.125	0.1333	0.1333	0.0625	0.1875	0.1875	0.0588	0.125	0.125	0.2143	0.0714	0.0667	0.0001	0.1818	0.1818	0.1429	0.0001	0.0001	0.0001	0.1176	0.0667
Chen_03^1	0.2667	0.125	0.0556	0.0556	0.9	0.5455	1.0	0.25	0.3333	0.4375	0.1667	0.3333	0.25	0.3333	0.2941	0.375	0.1667	0.3125	0.3125	0.3333	0.2	0.1875	0.0001	0.2308	0.2308	0.2667	0.0001	0.0001	0.0001	0.1579	0.0001
Das_01^1	0.2667	0.125	0.0556	0.1875	0.1875	0.2143	0.25	1.0	0.6667	0.3529	0.6154	0.25	0.3333	0.4286	0.5714	0.375	0.2353	0.4	0.4	0.4286	0.5	0.5833	0.0001	0.3333	0.3333	0.3571	0.0001	0.0001	0.0001	0.1	0.1875
Das_02^1	0.2667	0.125	0.0556	0.1875	0.2667	0.1333	0.3333	0.6667	1.0	0.5333	0.5	0.4286	0.4286	0.6667	0.5714	0.375	0.3125	0.4	0.4	0.3333	0.3846	0.4615	0.0001	0.3333	0.3333	0.4615	0.0001	0.0001	0.0001	0.1	0.1875
Das_03^1	0.4667	0.1053	0.0476	0.2222	0.375	0.3333	0.4375	0.3529	0.5333	1.0	0.5	0.7692	0.5333	0.5333	0.5625	0.5625	0.4118	0.6	0.6	0.4375	0.3125	0.375	0.0001	0.3571	0.3571	0.4667	0.0001	0.0001	0.0001	0.1364	0.2222
Das_04^1	0.4286	0.0556	0.0526	0.25	0.1111	0.125	0.1667	0.6154	0.5	0.5	1.0	0.5	0.6154	0.6154	0.7692	0.5333	0.4667	0.6923	0.6923	0.6154	0.5833	0.6667	0.0001	0.3077	0.3077	0.4286	0.0001	0.0001	0.0001	0.15	0.25
Das_05^1	0.3571	0.0588	0.0556	0.1875	0.2667	0.1333	0.3333	0.25	0.4286	0.7692	0.5	1.0	0.5385	0.6667	0.5714	0.6923	0.5	0.6154	0.6154	0.4286	0.2857	0.3571	0.0001	0.2308	0.2308	0.3571	0.0001	0.0001	0.0001	0.1	0.1875
Das_06^1	0.4615	0.125	0.1176	0.2667	0.1875	0.1333	0.25	0.3333	0.4286	0.5333	0.6154	0.5385	1.0	0.5385	0.4667	0.5714	0.5	0.6154	0.6154	0.4286	0.3846	0.3571	0.0001	0.2308	0.2308	0.3571	0.0001	0.0001	0.0001	0.1	0.1875
Das_07^1	0.3571	0.0588	0.0556	0.1176	0.2667	0.0625	0.3333	0.4286	0.6667	0.5333	0.6154	0.6667	0.5385	1.0	0.6923	0.5714	0.5	0.6154	0.6154	0.4286	0.3846	0.4615	0.0001	0.2308	0.2308	0.3571	0.0001	0.0001	0.0001	0.1	0.1875
Das_08^1	0.4	0.0526	0.05	0.1667	0.2353	0.1875	0.2941	0.5714	0.5714	0.5625	0.7692	0.5714	0.4667	0.6923	1.0	0.5	0.3529	0.5333	0.5333	0.4667	0.4286	0.5	0.0001	0.3846	0.3846	0.4	0.0001	0.0001	0.0001	0.0909	0.2353
