Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0001	0.0645	0.069	0.2449	0.3443	0.2864	0.2	0.2667	0.4869	0.4667	0.4	0.1879	0.5013	0.3757	0.276	0.207	0.2962	0.2254	0.2667	0.1633	0.207	0.0667	0.0001	0.0001	0.1291	0.0001	0.0001	0.0001	0.4216	0.0001
Bujnicki_01^1	0.0001	1.0	0.1581	0.0001	0.0001	0.0001	0.0001	0.0816	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0845	0.0001	0.0001	0.0001	0.0001	0.0001	0.0816	0.0001	0.0001	0.0001	0.0001	0.2828	0.1054	0.0001	0.1581
Bujnicki_02^1	0.0645	0.1581	1.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0645	0.0589	0.0645	0.1936	0.1819	0.0693	0.0606	0.0668	0.0001	0.0574	0.0001	0.0001	0.0001	0.0001	0.0645	0.0001	0.0001	0.0001	0.1508	0.4472	0.3333	0.0001	0.0001
Bujnicki_03^1	0.069	0.0001	0.0001	1.0	0.0001	0.0891	0.0001	0.138	0.069	0.189	0.207	0.138	0.1945	0.0741	0.1296	0.1429	0.1429	0.1839	0.2333	0.207	0.169	0.2857	0.138	0.1336	0.1336	0.1336	0.1612	0.0001	0.0001	0.1091	0.0001
Chen_01^1	0.2449	0.0001	0.0001	0.0001	1.0	0.6325	0.7016	0.0816	0.0001	0.1491	0.0001	0.0816	0.0001	0.0001	0.0767	0.0845	0.0001	0.0725	0.138	0.1633	0.0001	0.169	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2582	0.0001
Chen_02^1	0.3443	0.0001	0.0001	0.0891	0.6325	1.0	0.7396	0.0001	0.0001	0.2357	0.0861	0.1721	0.0001	0.0925	0.1617	0.0001	0.0001	0.1529	0.1455	0.1721	0.0001	0.1782	0.0861	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2722	0.0001
Chen_03^1	0.2864	0.0001	0.0001	0.0001	0.7016	0.7396	1.0	0.0716	0.0001	0.1961	0.0716	0.1432	0.0001	0.0769	0.1345	0.0741	0.0001	0.1909	0.1816	0.2148	0.0877	0.1482	0.0001	0.1387	0.1387	0.1387	0.0001	0.0001	0.0001	0.2265	0.0001
Das_01^1	0.2	0.0816	0.0001	0.138	0.0816	0.0001	0.0716	1.0	0.6	0.426	0.4667	0.4	0.3131	0.5729	0.6888	0.483	0.483	0.3554	0.2817	0.2	0.3266	0.276	0.4	0.1291	0.1291	0.1291	0.0001	0.0001	0.0001	0.2108	0.0001
Das_02^1	0.2667	0.0001	0.0645	0.069	0.0001	0.0001	0.0001	0.6	1.0	0.5477	0.6	0.5333	0.6262	0.6445	0.6888	0.6211	0.483	0.5331	0.3381	0.2667	0.4082	0.345	0.3333	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1054	0.0001
Das_03^1	0.4869	0.0001	0.0589	0.189	0.1491	0.2357	0.1961	0.426	0.5477	1.0	0.5477	0.6694	0.5717	0.7191	0.686	0.504	0.504	0.5407	0.4115	0.2434	0.2236	0.315	0.2434	0.0001	0.0001	0.1179	0.0001	0.0001	0.0001	0.0962	0.0001
Das_04^1	0.4667	0.0001	0.0645	0.207	0.0001	0.0861	0.0716	0.4667	0.6	0.5477	1.0	0.5333	0.4384	0.7161	0.6262	0.5521	0.345	0.4146	0.2817	0.4	0.4899	0.414	0.2	0.1291	0.1291	0.1291	0.0001	0.0001	0.0001	0.2108	0.0001
Das_05^1	0.4	0.0001	0.1936	0.138	0.0816	0.1721	0.1432	0.4	0.5333	0.6694	0.5333	1.0	0.5636	0.7161	0.6888	0.6211	0.414	0.4146	0.3381	0.2	0.2449	0.276	0.1333	0.0001	0.0001	0.1291	0.0001	0.0001	0.0001	0.0001	0.0001
Das_06^1	0.1879	0.0001	0.1819	0.1945	0.0001	0.0001	0.0001	0.3131	0.6262	0.5717	0.4384	0.5636	1.0	0.4036	0.4118	0.5186	0.4537	0.5564	0.4763	0.2505	0.3835	0.3241	0.1879	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
Das_07^1	0.5013	0.0001	0.0693	0.0741	0.0001	0.0925	0.0769	0.5729	0.6445	0.7191	0.7161	0.7161	0.4036	1.0	0.8072	0.593	0.5189	0.4454	0.3026	0.2148	0.3508	0.2965	0.2864	0.0001	0.0001	0.1387	0.0001	0.0001	0.0001	0.1132	0.0001
Das_08^1	0.3757	0.0001	0.0606	0.1296	0.0767	0.1617	0.1345	0.6888	0.6888	0.686	0.6262	0.6888	0.4118	0.8072	1.0	0.5834	0.4537	0.4451	0.3176	0.2505	0.3835	0.3241	0.3757	0.1213	0.1213	0.2425	0.0001	0.0001	0.0001	0.198	0.0001
Das_09^1	0.276	0.0001	0.0668	0.1429	0.0845	0.0001	0.0741	0.483	0.6211	0.504	0.5521	0.6211	0.5186	0.593	0.5834	1.0	0.5	0.4905	0.3499	0.276	0.3381	0.3571	0.138	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
