Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0001	0.0333	0.0357	0.1364	0.2	0.1667	0.1111	0.1538	0.32	0.3043	0.25	0.1034	0.3333	0.2308	0.16	0.1154	0.1724	0.125	0.1538	0.087	0.1154	0.0345	0.0001	0.0001	0.0556	0.0001	0.0001	0.0001	0.2353	0.0001
Bujnicki_01^1	0.0001	1.0	0.0833	0.0001	0.0001	0.0001	0.0001	0.0417	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0435	0.0001	0.0001	0.0001	0.0001	0.0001	0.0417	0.0001	0.0001	0.0001	0.0001	0.1538	0.0556	0.0001	0.0769
Bujnicki_02^1	0.0333	0.0833	1.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0333	0.0303	0.0333	0.1071	0.1	0.0357	0.0312	0.0345	0.0001	0.0294	0.0001	0.0001	0.0001	0.0001	0.0333	0.0001	0.0001	0.0001	0.08	0.2353	0.1905	0.0001	0.0001
Bujnicki_03^1	0.0357	0.0001	0.0001	1.0	0.0001	0.0455	0.0001	0.0741	0.0357	0.1034	0.1154	0.0741	0.1071	0.0385	0.069	0.0769	0.0769	0.1	0.129	0.1154	0.0909	0.1667	0.0741	0.0588	0.0588	0.0588	0.087	0.0001	0.0001	0.0526	0.0001
Chen_01^1	0.1364	0.0001	0.0001	0.0001	1.0	0.4615	0.5333	0.0417	0.0001	0.0769	0.0001	0.0417	0.0001	0.0001	0.0385	0.0435	0.0001	0.0357	0.069	0.087	0.0001	0.0909	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1429	0.0001
Chen_02^1	0.2	0.0001	0.0001	0.0455	0.4615	1.0	0.5714	0.0001	0.0001	0.125	0.0435	0.0909	0.0001	0.0476	0.0833	0.0001	0.0001	0.0769	0.0714	0.0909	0.0001	0.0952	0.0435	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.1538	0.0001
Chen_03^1	0.1667	0.0001	0.0001	0.0001	0.5333	0.5714	1.0	0.037	0.0001	0.1071	0.037	0.0769	0.0001	0.04	0.0714	0.0385	0.0001	0.1034	0.0968	0.12	0.0455	0.08	0.0001	0.0625	0.0625	0.0625	0.0001	0.0001	0.0001	0.1176	0.0001
Das_01^1	0.1111	0.0417	0.0001	0.0741	0.0417	0.0001	0.037	1.0	0.4286	0.2692	0.3043	0.25	0.1852	0.4	0.5238	0.3182	0.3182	0.2143	0.1613	0.1111	0.1905	0.16	0.25	0.0556	0.0556	0.0556	0.0001	0.0001	0.0001	0.1053	0.0001
Das_02^1	0.1538	0.0001	0.0333	0.0357	0.0001	0.0001	0.0001	0.4286	1.0	0.375	0.4286	0.3636	0.4545	0.4737	0.5238	0.45	0.3182	0.36	0.2	0.1538	0.25	0.2083	0.2	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.05	0.0001
Das_03^1	0.32	0.0001	0.0303	0.1034	0.0769	0.125	0.1071	0.2692	0.375	1.0	0.375	0.5	0.4	0.55	0.5217	0.3333	0.3333	0.3704	0.2581	0.1379	0.12	0.1852	0.1379	0.0001	0.0001	0.0476	0.0001	0.0001	0.0001	0.0435	0.0001
Das_04^1	0.3043	0.0001	0.0333	0.1154	0.0001	0.0435	0.037	0.3043	0.4286	0.375	1.0	0.3636	0.28	0.5556	0.4545	0.381	0.2083	0.2593	0.1613	0.25	0.3158	0.2609	0.1111	0.0556	0.0556	0.0556	0.0001	0.0001	0.0001	0.1053	0.0001
Das_05^1	0.25	0.0001	0.1071	0.0741	0.0417	0.0909	0.0769	0.25	0.3636	0.5	0.3636	1.0	0.3913	0.5556	0.5238	0.45	0.2609	0.2593	0.2	0.1111	0.1364	0.16	0.0714	0.0001	0.0001	0.0556	0.0001	0.0001	0.0001	0.0001	0.0001
Das_06^1	0.1034	0.0001	0.1	0.1071	0.0001	0.0001	0.0001	0.1852	0.4545	0.4	0.28	0.3913	1.0	0.25	0.2593	0.3478	0.2917	0.3846	0.3103	0.1429	0.2273	0.1923	0.1034	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
Das_07^1	0.3333	0.0001	0.0357	0.0385	0.0001	0.0476	0.04	0.4	0.4737	0.55	0.5556	0.5556	0.25	1.0	0.6667	0.4211	0.35	0.28	0.1724	0.12	0.2105	0.1739	0.1667	0.0001	0.0001	0.0625	0.0001	0.0001	0.0001	0.0556	0.0001
Das_08^1	0.2308	0.0001	0.0312	0.069	0.0385	0.0833	0.0714	0.5238	0.5238	0.5217	0.4545	0.5238	0.2593	0.6667	1.0	0.4091	0.2917	0.2857	0.1875	0.1429	0.2273	0.1923	0.2308	0.05	0.05	0.1053	0.0001	0.0001	0.0001	0.0952	0.0001
Das_09^1	0.16	0.0001	0.0345	0.0769	0.0435	0.0001	0.0385	0.3182	0.45	0.3333	0.381	0.45	0.3478	0.4211	0.4091	1.0	0.3333	0.32	0.2069	0.16	0.2	0.2174	0.0741	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
Das_10^1	0.1154	0.0435	0.0001	0.0769	0.0001	0.0001	0.0001	0.3182	0.3182	0.3333	0.2083	0.2609	0.2917	0.35	0.2917	0.3333	1.0	0.32	0.25	0.0741	0.2	0.1667	0.2083	0.0001	0.0001	0.0001	0.0417	0.0001	0.0001	0.0526	0.0588
Ding_01^1	0.1724	0.0001	0.0294	0.1	0.0357	0.0769	0.1034	0.2143	0.36	0.3704	0.2593	0.2593	0.3846	0.28	0.2857	0.32	0.32	1.0	0.6	0.4167	0.45	0.4348	0.0625	0.0952	0.0952	0.0952	0.0001	0.0001	0.0001	0.087	0.0001
Ding_02^1	0.125	0.0001	0.0001	0.129	0.069	0.0714	0.0968	0.1613	0.2	0.2581	0.1613	0.2	0.3103	0.1724	0.1875	0.2069	0.25	0.6	1.0	0.5652	0.3478	0.4583	0.0286	0.087	0.087	0.087	0.0001	0.0001	0.0001	0.08	0.0001
Ding_03^1	0.1538	0.0001	0.0001	0.1154	0.087	0.0909	0.12	0.1111	0.1538	0.1379	0.25	0.1111	0.1429	0.12	0.1429	0.16	0.0741	0.4167	0.5652	1.0	0.4706	0.6111	0.0345	0.1176	0.1176	0.1176	0.0001	0.0001	0.0001	0.1053	0.0001
Ding_04^1	0.087	0.0001	0.0001	0.0909	0.0001	0.0001	0.0455	0.1905	0.25	0.12	0.3158	0.1364	0.2273	0.2105	0.2273	0.2	0.2	0.45	0.3478	0.4706	1.0	0.5	0.087	0.1667	0.1667	0.1667	0.0001	0.0001	0.0001	0.1429	0.0001
Ding_05^1	0.1154	0.0001	0.0001	0.1667	0.0909	0.0952	0.08	0.16	0.2083	0.1852	0.2609	0.16	0.1923	0.1739	0.1923	0.2174	0.1667	0.4348	0.4583	0.6111	0.5	1.0	0.0741	0.125	0.125	0.125	0.0001	0.0001	0.0001	0.1765	0.0001
Dokholyan_01^1	0.0345	0.0417	0.0333	0.0741	0.0001	0.0435	0.0001	0.25	0.2	0.1379	0.1111	0.0714	0.1034	0.1667	0.2308	0.0741	0.2083	0.0625	0.0286	0.0345	0.087	0.0741	1.0	0.0001	0.0001	0.0001	0.0833	0.0001	0.0435	0.05	0.0556
RNAComposerHuman_01^1	0.0001	0.0001	0.0001	0.0588	0.0001	0.0001	0.0625	0.0556	0.0001	0.0001	0.0556	0.0001	0.0001	0.0001	0.05	0.0001	0.0001	0.0952	0.087	0.1176	0.1667	0.125	0.0001	1.0	1.0	0.6	0.0001	0.0001	0.0001	0.1111	0.0001
RNAComposerHuman_02^1	0.0001	0.0001	0.0001	0.0588	0.0001	0.0001	0.0625	0.0556	0.0001	0.0001	0.0556	0.0001	0.0001	0.0001	0.05	0.0001	0.0001	0.0952	0.087	0.1176	0.1667	0.125	0.0001	1.0	1.0	0.6	0.0001	0.0001	0.0001	0.1111	0.0001
RNAComposerHuman_03^1	0.0556	0.0001	0.0001	0.0588	0.0001	0.0001	0.0625	0.0556	0.0001	0.0476	0.0556	0.0556	0.0001	0.0625	0.1053	0.0001	0.0001	0.0952	0.087	0.1176	0.1667	0.125	0.0001	0.6	0.6	1.0	0.0001	0.0001	0.0001	0.1111	0.0001
Xiao_01^1	0.0001	0.0001	0.08	0.087	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0417	0.0001	0.0001	0.0001	0.0001	0.0001	0.0833	0.0001	0.0001	0.0001	1.0	0.0001	0.0526	0.0001	0.1538
Xiao_02^1	0.0001	0.1538	0.2353	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0	0.2727	0.0001	0.0001
Xiao_03^1	0.0001	0.0556	0.1905	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0435	0.0001	0.0001	0.0001	0.0526	0.2727	1.0	0.0001	0.0001
Xiao_04^1	0.2353	0.0001	0.0001	0.0526	0.1429	0.1538	0.1176	0.1053	0.05	0.0435	0.1053	0.0001	0.0001	0.0556	0.0952	0.0001	0.0526	0.087	0.08	0.1053	0.1429	0.1765	0.05	0.1111	0.1111	0.1111	0.0001	0.0001	0.0001	1.0	0.0001
Xiao_05^1	0.0001	0.0769	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0588	0.0001	0.0001	0.0001	0.0001	0.0001	0.0556	0.0001	0.0001	0.0001	0.1538	0.0001	0.0001	0.0001	1.0
