Ligand_name	23_solution_0^1	Bujnicki_01^1	Bujnicki_02^1	Bujnicki_03^1	Chen_01^1	Chen_02^1	Chen_03^1	Das_01^1	Das_02^1	Das_03^1	Das_04^1	Das_05^1	Das_06^1	Das_07^1	Das_08^1	Das_09^1	Das_10^1	Ding_01^1	Ding_02^1	Ding_03^1	Ding_04^1	Ding_05^1	Dokholyan_01^1	RNAComposerHuman_01^1	RNAComposerHuman_02^1	RNAComposerHuman_03^1	Xiao_01^1	Xiao_02^1	Xiao_03^1	Xiao_04^1	Xiao_05^1
23_solution_0^1	1.0	0.0001	0.1179	0.1179	0.3162	0.433	0.4009	0.3354	0.375	0.533	0.4714	0.5345	0.4714	0.5	0.4472	0.4264	0.3536	0.5	0.5	0.7071	0.433	0.4009	0.1443	0.3162	0.3162	0.2673	0.0001	0.0001	0.0001	0.4009	0.0001
Bujnicki_01^1	0.0001	1.0	0.378	0.252	0.0001	0.0001	0.0001	0.1195	0.1336	0.114	0.0001	0.0001	0.126	0.0001	0.0001	0.0001	0.126	0.0001	0.0001	0.0001	0.0001	0.0001	0.1543	0.0001	0.0001	0.0001	0.504	0.504	0.1429	0.1429	0.378
Bujnicki_02^1	0.1179	0.378	1.0	0.1111	0.0001	0.0001	0.0001	0.1054	0.1179	0.1005	0.1111	0.126	0.2222	0.1179	0.1054	0.1005	0.1111	0.1179	0.1179	0.1111	0.1361	0.0001	0.1361	0.0001	0.0001	0.0001	0.2222	0.5556	0.504	0.0001	0.1667
Bujnicki_03^1	0.1179	0.252	0.1111	1.0	0.0001	0.1361	0.0001	0.3162	0.3536	0.402	0.4444	0.378	0.4444	0.2357	0.3162	0.3015	0.3333	0.4714	0.4714	0.3333	0.2722	0.378	0.2722	0.2981	0.2981	0.378	0.4444	0.4444	0.0001	0.252	0.3333
Chen_01^1	0.3162	0.0001	0.0001	0.0001	1.0	0.7303	0.8452	0.2828	0.1581	0.2697	0.1491	0.169	0.1491	0.1581	0.2828	0.4045	0.0001	0.3162	0.3162	0.4472	0.1826	0.3381	0.0001	0.2	0.2	0.169	0.0001	0.0001	0.0001	0.3381	0.0001
Chen_02^1	0.433	0.0001	0.0001	0.1361	0.7303	1.0	0.7715	0.2582	0.1443	0.4924	0.2722	0.3086	0.2722	0.1443	0.3873	0.3693	0.0001	0.1443	0.1443	0.4082	0.0001	0.1543	0.1667	0.3651	0.3651	0.3086	0.0001	0.0001	0.0001	0.3086	0.0001
Chen_03^1	0.4009	0.0001	0.0001	0.0001	0.8452	0.7715	1.0	0.239	0.1336	0.3419	0.252	0.2857	0.252	0.2673	0.3586	0.4558	0.0001	0.2673	0.2673	0.504	0.1543	0.2857	0.0001	0.3381	0.3381	0.2857	0.0001	0.0001	0.0001	0.2857	0.0001
Das_01^1	0.3354	0.1195	0.1054	0.3162	0.2828	0.2582	0.239	1.0	0.7826	0.5721	0.7379	0.3586	0.527	0.6708	0.8	0.5721	0.4216	0.559	0.559	0.527	0.7746	0.5976	0.3873	0.4243	0.4243	0.4781	0.0001	0.0001	0.0001	0.239	0.0001
Das_02^1	0.375	0.1336	0.1179	0.3536	0.1581	0.1443	0.1336	0.7826	1.0	0.6396	0.7071	0.5345	0.7071	0.75	0.6708	0.533	0.5893	0.625	0.625	0.4714	0.7217	0.5345	0.433	0.3162	0.3162	0.4009	0.0001	0.0001	0.0001	0.1336	0.0001
Das_03^1	0.533	0.114	0.1005	0.402	0.2697	0.4924	0.3419	0.5721	0.6396	1.0	0.603	0.7977	0.7035	0.6396	0.6674	0.7273	0.5025	0.6396	0.6396	0.603	0.3693	0.4558	0.2462	0.4045	0.4045	0.4558	0.0001	0.0001	0.0001	0.2279	0.0001
Das_04^1	0.4714	0.0001	0.1111	0.4444	0.1491	0.2722	0.252	0.7379	0.7071	0.603	1.0	0.6299	0.7778	0.7071	0.8433	0.603	0.5556	0.7071	0.7071	0.7778	0.8165	0.7559	0.4082	0.4472	0.4472	0.6299	0.0001	0.0001	0.0001	0.378	0.0001
Das_05^1	0.5345	0.0001	0.126	0.378	0.169	0.3086	0.2857	0.3586	0.5345	0.7977	0.6299	1.0	0.7559	0.6682	0.5976	0.7977	0.6299	0.6682	0.6682	0.6299	0.4629	0.4286	0.1543	0.169	0.169	0.2857	0.0001	0.0001	0.0001	0.1429	0.0001
Das_06^1	0.4714	0.126	0.2222	0.4444	0.1491	0.2722	0.252	0.527	0.7071	0.7035	0.7778	0.7559	1.0	0.7071	0.6325	0.7035	0.5556	0.7071	0.7071	0.6667	0.5443	0.504	0.4082	0.2981	0.2981	0.378	0.0001	0.0001	0.0001	0.126	0.0001
Das_07^1	0.5	0.0001	0.1179	0.2357	0.1581	0.1443	0.2673	0.6708	0.75	0.6396	0.7071	0.6682	0.7071	1.0	0.7826	0.7462	0.5893	0.625	0.625	0.5893	0.7217	0.5345	0.2887	0.1581	0.1581	0.2673	0.0001	0.0001	0.0001	0.1336	0.0001
Das_08^1	0.4472	0.0001	0.1054	0.3162	0.2828	0.3873	0.3586	0.8	0.6708	0.6674	0.8433	0.5976	0.6325	0.7826	1.0	0.6674	0.4216	0.559	0.559	0.6325	0.7746	0.5976	0.3873	0.4243	0.4243	0.4781	0.0001	0.0001	0.0001	0.239	0.0001
Das_09^1	0.4264	0.0001	0.1005	0.3015	0.4045	0.3693	0.4558	0.5721	0.533	0.7273	0.603	0.7977	0.7035	0.7462	0.6674	1.0	0.603	0.6396	0.6396	0.603	0.4924	0.4558	0.2462	0.1348	0.1348	0.2279	0.1005	0.0001	0.114	0.114	0.0001
Das_10^1	0.3536	0.126	0.1111	0.3333	0.0001	0.0001	0.0001	0.4216	0.5893	0.5025	0.5556	0.6299	0.5556	0.5893	0.4216	0.603	1.0	0.5893	0.5893	0.4444	0.5443	0.504	0.5443	0.1491	0.1491	0.378	0.3333	0.0001	0.252	0.252	0.1667
