ligand	number of poses	real	user	sys	run through
sildenafil	1000	3:44.63	213.76	0.9	python
sildenafil	100	0:22.19	21.39	0.35	python
sildenafil	10	0:02.62	2.73	0.26	python
sildenafil	5000	19:01.00	1084.2	3.64	python
sildenafil	500	1:54.61	109.21	0.47	python
ibuprofen	1000	1:58.38	112.68	0.47	python
ibuprofen	100	0:11.98	11.65	0.26	python
ibuprofen	10	0:01.55	1.74	0.28	python
ibuprofen	5000	10:22.83	591.57	1.68	python
ibuprofen	500	0:59.79	57.03	0.4	python
guanidine	1000	1:01.84	58.99	0.36	python
guanidine	100	0:06.49	6.44	0.27	python
guanidine	10	0:01.03	1.26	0.24	python
guanidine	5000	6:04.93	346.19	1.43	python
guanidine	500	0:30.56	29.27	0.35	python
sildenafil	1000	3:31.99	212.33	0.74	python
sildenafil	1000	3:30.11	210.36	0.77	python
sildenafil	1000	3:28.63	208.81	0.83	python
sildenafil	1000	3:23.62	203.74	0.81	python
sildenafil	1000	3:26.89	207.03	0.53	python
sildenafil	1000	3:25.34	205.75	0.98	python
sildenafil	1000	3:28.92	209.1	0.6	python
sildenafil	1000	3:27.46	207.95	1.01	python
sildenafil	1000	3:24.83	205.06	0.64	python
sildenafil	100	0:21.14	21.41	0.25	python
sildenafil	100	0:21.31	21.55	0.32	python
sildenafil	100	0:21.56	21.85	0.29	python
sildenafil	100	0:21.22	21.47	0.3	python
sildenafil	100	0:20.79	21.07	0.24	python
sildenafil	100	0:20.86	21.08	0.26	python
sildenafil	100	0:20.98	21.14	0.42	python
sildenafil	100	0:21.97	22.23	0.22	python
sildenafil	100	0:20.80	21.06	0.21	python
sildenafil	10	0:02.50	2.77	0.2	python
sildenafil	10	0:02.51	2.71	0.27	python
sildenafil	10	0:02.54	2.79	0.23	python
sildenafil	10	0:02.54	2.71	0.29	python
sildenafil	10	0:02.52	2.77	0.22	python
sildenafil	10	0:02.52	2.78	0.21	python
sildenafil	10	0:02.52	2.76	0.23	python
sildenafil	10	0:02.49	2.72	0.24	python
sildenafil	10	0:02.47	2.68	0.26	python
sildenafil	5000	17:44.41	1064.62	2.54	python
sildenafil	5000	18:11.03	1091.42	3.91	python
sildenafil	5000	18:11.00	1090.98	3.09	python
sildenafil	5000	17:53.89	1074.48	3.92	python
sildenafil	5000	17:21.73	1041.98	3.44	python
sildenafil	5000	18:16.29	1096.72	3.8	python
